,wpdev.csv,nova.csv,crisscross.csv,ontomorphtab.csv,abbot.csv,jitterbit.csv,vienna-add-in.csv,jguard.csv,gabel.csv,vrjuggler.csv,mycila.csv,tmva.csv
abbot.csv,0.0,0.58,0.47,0.23,0.99,0.4,0.53,0.56,0.57,0.56,0.46,0.36
crisscross.csv,0.18,0.18,0.96,0.24,0.02,0.29,0.19,0.12,0.66,0.15,0.35,0.26
gabel.csv,0.0,0.0,0.0,0.07,0.0,0.05,0.02,0.04,1.0,0.0,0.0,0.01
jguard.csv,0.0,0.29,0.48,0.57,0.56,0.37,0.58,0.94,0.38,0.14,0.56,0.47
jitterbit.csv,0.65,0.22,0.69,0.33,0.23,0.97,0.55,0.31,0.41,0.45,0.12,0.59
mycila.csv,0.0,0.1,0.48,0.13,0.19,0.05,0.05,0.09,0.15,0.52,1.0,0.1
nova.csv,0.49,0.81,0.51,0.62,0.5,0.49,0.35,0.24,0.71,0.47,0.43,0.3
ontomorphtab.csv,0.71,0.09,0.32,0.98,0.31,0.49,0.34,0.68,0.71,0.4,0.55,0.38
tmva.csv,0.78,0.27,0.66,0.65,0.38,0.59,0.55,0.55,0.81,0.34,0.43,0.99
vienna-add-in.csv,0.0,0.68,0.5,0.62,0.55,0.47,1.0,0.36,0.63,0.51,0.41,0.5
vrjuggler.csv,0.32,0.1,0.28,0.4,0.48,0.55,0.2,0.2,0.51,0.95,0.0,0.32
wpdev.csv,1.0,0.09,0.52,0.61,0.0,0.05,0.0,0.09,0.0,0.0,0.0,0.0
