,barracudamvc.csv,openintents.csv,arsenal-1.csv,alembik.csv,ontopia.csv,irplus.csv,lite.csv,mevenide.csv,tweetsharp.csv,ta3d.csv
alembik.csv,0.61,0.9,0.0,0.38,0.92,0.86,0.41,0.8,0.47,0.43
arsenal-1.csv,0.35,0.73,0.52,0.8,0.82,0.61,0.67,0.59,0.6,0.86
barracudamvc.csv,0.43,0.33,0.38,0.35,0.38,0.34,0.32,0.65,0.42,0.41
irplus.csv,0.31,0.31,0.88,0.48,0.45,0.44,0.46,0.39,0.3,0.32
lite.csv,0.42,0.63,0.42,0.89,0.61,0.55,0.52,0.55,0.54,0.83
mevenide.csv,0.41,0.5,0.8,0.0,0.92,0.67,0.0,0.69,0.75,0.83
ontopia.csv,0.85,0.32,0.64,0.39,0.4,0.6,0.33,0.91,0.42,0.42
openintents.csv,0.45,0.5,0.36,0.39,0.49,0.39,0.38,0.59,0.59,0.56
ta3d.csv,0.67,0.83,0.4,0.0,0.53,0.77,0.83,0.77,0.5,0.41
tweetsharp.csv,0.82,0.59,0.44,0.38,0.72,0.59,0.37,0.76,0.5,0.57
