,xbrlapi.csv,codeblocks.csv,utgb.csv,red5.csv,bulmages.csv,proftp.csv,grisbi.csv,t-2.csv,libmesh.csv,tcvp.csv,tart.csv,panda3d.csv,super-tux.csv,soar.csv,qmmp.csv,mesa3d.csv
bulmages.csv,0.0,154.0,0.0,71.0,0.0,0.0,0.0,13.0,0.0,82.0,93.0,1.0,0.0,0.0,1.0,7.0
codeblocks.csv,0.0,0.0,7.0,0.0,0.0,2.0,0.0,35.0,0.0,19.0,9.0,3.0,0.0,0.0,7.0,5.0
grisbi.csv,1.0,1.0,2.0,0.0,2.0,1.0,0.0,88.0,0.0,12.0,7.0,2.0,0.0,3.0,7.0,0.0
libmesh.csv,0.0,0.0,1.0,0.0,0.0,2.0,0.0,89.0,0.0,16.0,0.0,1.0,0.0,0.0,3.0,0.0
mesa3d.csv,0.0,0.0,0.0,0.0,7.0,1.0,0.0,74.0,0.0,2.0,5.0,1.0,0.0,0.0,6.0,0.0
panda3d.csv,0.0,1.0,0.0,0.0,3.0,2.0,2.0,40.0,0.0,1.0,6.0,1.0,0.0,0.0,2.0,4.0
proftp.csv,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,2.0,1.0,8.0,4.0,0.0,0.0,0.0,0.0
qmmp.csv,0.0,1.0,2.0,0.0,1.0,0.0,1.0,73.0,1.0,12.0,3.0,3.0,0.0,0.0,0.0,0.0
red5.csv,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,5.0,11.0,1.0,0.0,3.0,4.0,2.0
soar.csv,0.0,5.0,2.0,0.0,4.0,2.0,0.0,87.0,0.0,17.0,11.0,3.0,0.0,0.0,2.0,2.0
super-tux.csv,0.0,5.0,0.0,8.0,0.0,1.0,0.0,70.0,0.0,19.0,10.0,3.0,0.0,0.0,2.0,2.0
t-2.csv,0.0,5.0,2.0,0.0,4.0,2.0,0.0,0.0,0.0,17.0,10.0,3.0,0.0,0.0,2.0,4.0
tart.csv,2.0,0.0,2.0,71.0,100.0,4.0,0.0,97.0,71.0,82.0,0.0,0.0,0.0,0.0,0.0,322.0
tcvp.csv,0.0,4.0,1.0,0.0,15.0,6.0,0.0,15.0,1.0,0.0,13.0,0.0,0.0,0.0,2.0,18.0
utgb.csv,0.0,4.0,0.0,0.0,9.0,2.0,0.0,75.0,0.0,6.0,24.0,3.0,0.0,0.0,2.0,2.0
xbrlapi.csv,0.0,2.0,1.0,0.0,2.0,1.0,0.0,84.0,1.0,0.0,29.0,2.0,0.0,0.0,2.0,2.0
