,xbrlapi.csv,codeblocks.csv,utgb.csv,red5.csv,bulmages.csv,proftp.csv,grisbi.csv,t-2.csv,libmesh.csv,tcvp.csv,tart.csv,panda3d.csv,super-tux.csv,soar.csv,qmmp.csv,mesa3d.csv
bulmages.csv,0.05,0.0,0.03,0.0,0.0,0.08,0.0,0.04,0.09,0.0,0.02,0.07,0.0,0.2,0.1,0.04
codeblocks.csv,0.25,0.03,0.29,0.07,0.75,0.97,1.0,0.43,0.91,0.91,0.91,0.82,0.8,0.0,0.82,0.7
grisbi.csv,0.88,0.74,0.97,0.97,0.96,0.78,0.0,0.98,0.8,0.86,0.89,0.69,0.4,0.92,0.9,0.74
libmesh.csv,0.05,0.03,0.48,0.28,0.14,0.41,0.29,0.49,0.07,0.32,0.06,0.16,0.4,0.68,0.18,0.0
mesa3d.csv,0.15,0.21,0.45,0.59,0.14,0.24,0.0,0.23,0.41,0.2,0.24,0.15,0.4,0.16,0.4,0.03
panda3d.csv,0.05,0.33,0.16,0.21,0.3,0.38,0.14,0.08,0.2,0.14,0.27,0.04,0.4,0.32,0.26,0.28
proftp.csv,0.15,0.23,0.29,0.21,0.1,0.03,0.07,0.21,0.24,0.09,0.18,0.22,0.0,0.12,0.06,0.15
qmmp.csv,0.48,0.38,0.42,0.52,0.62,0.35,0.21,0.74,0.52,0.74,0.57,0.45,0.4,0.68,0.0,0.6
red5.csv,0.52,0.13,0.39,0.0,0.35,0.11,0.14,0.25,0.37,0.5,0.47,0.22,0.2,0.4,0.21,0.15
soar.csv,0.7,0.56,0.52,0.69,0.71,0.46,0.43,0.37,0.63,0.73,0.9,0.79,1.0,0.0,0.79,0.82
super-tux.csv,0.62,1.0,0.45,0.69,1.0,0.81,1.0,0.34,1.0,1.0,0.97,0.97,0.0,0.0,1.0,1.0
t-2.csv,0.4,0.67,0.32,0.48,0.78,0.73,0.86,0.0,0.76,0.65,0.55,0.73,0.6,0.92,0.82,0.26
tart.csv,0.05,0.0,0.13,0.0,0.0,0.11,0.0,0.24,0.07,0.01,0.0,0.0,0.0,0.76,0.0,0.0
tcvp.csv,0.32,0.44,0.29,0.28,0.24,0.32,0.43,0.03,0.04,0.0,0.18,0.32,0.2,0.84,0.27,0.17
utgb.csv,0.1,0.28,0.03,0.45,0.32,0.35,0.5,0.31,0.28,0.18,0.31,0.3,0.8,0.76,0.16,0.59
xbrlapi.csv,0.0,0.36,0.32,0.28,0.56,0.19,0.0,0.42,0.22,0.04,0.42,0.32,0.2,0.4,0.24,0.88
