,xbrlapi.csv,codeblocks.csv,utgb.csv,red5.csv,bulmages.csv,proftp.csv,grisbi.csv,t-2.csv,libmesh.csv,tcvp.csv,tart.csv,panda3d.csv,super-tux.csv,soar.csv,qmmp.csv,mesa3d.csv
bulmages.csv,0.02,0.0,0.2,0.0,0.96,0.38,0.15,0.04,0.1,0.0,0.0,0.15,0.02,0.12,0.2,0.07
codeblocks.csv,0.54,0.98,0.33,0.27,0.59,0.13,0.0,0.61,0.32,0.32,0.33,0.51,0.51,0.04,0.49,0.56
grisbi.csv,0.39,0.59,0.13,0.13,0.17,0.59,1.0,0.09,0.44,0.38,0.38,0.59,0.78,0.28,0.35,0.6
libmesh.csv,0.17,0.04,0.45,0.24,0.33,0.43,0.36,0.37,0.95,0.37,0.45,0.1,0.33,0.6,0.12,0.01
mesa3d.csv,0.2,0.27,0.37,0.46,0.28,0.51,0.15,0.3,0.26,0.37,0.23,0.25,0.24,0.22,0.44,0.9
panda3d.csv,0.09,0.4,0.24,0.14,0.42,0.3,0.27,0.09,0.18,0.38,0.23,0.94,0.24,0.27,0.37,0.34
proftp.csv,0.28,0.32,0.54,0.34,0.23,0.97,0.21,0.26,0.1,0.26,0.45,0.33,0.11,0.37,0.29,0.3
qmmp.csv,0.65,0.52,0.48,0.61,0.58,0.61,0.67,0.5,0.43,0.56,0.68,0.51,0.62,0.34,0.98,0.63
red5.csv,0.46,0.39,0.43,1.0,0.54,0.24,0.62,0.64,0.3,0.63,0.58,0.18,0.28,0.15,0.37,0.24
soar.csv,0.57,0.52,0.65,0.46,0.51,0.45,0.35,0.54,0.61,0.46,0.33,0.5,0.0,0.98,0.45,0.46
super-tux.csv,0.65,0.0,0.52,0.52,0.0,0.54,0.0,0.53,0.0,0.0,0.13,0.13,1.0,0.04,0.0,0.0
t-2.csv,0.56,0.51,0.44,0.55,0.56,0.34,0.42,0.93,0.57,0.57,0.69,0.49,0.57,0.28,0.43,0.32
tart.csv,0.09,0.01,0.17,0.0,0.0,0.12,0.02,0.01,0.0,0.0,1.0,0.02,0.02,0.48,0.04,0.0
tcvp.csv,0.24,0.4,0.41,0.24,0.22,0.5,0.26,0.04,0.05,0.91,0.24,0.47,0.19,0.46,0.37,0.27
utgb.csv,0.2,0.32,0.99,0.31,0.33,0.26,0.16,0.48,0.5,0.26,0.23,0.37,0.31,0.53,0.19,0.54
xbrlapi.csv,0.96,0.32,0.11,0.44,0.43,0.31,0.1,0.44,0.27,0.26,0.23,0.37,0.22,0.45,0.36,0.37
