,thrust.csv,k3b.csv,mp-rechnungs-und-kundenverwaltung.csv,fityk.csv
fityk.csv,0.45,0.64,0.66,0.43
k3b.csv,0.8,0.44,0.38,0.46
mp-rechnungs-und-kundenverwaltung.csv,0.89,0.69,0.7,0.88
thrust.csv,0.82,0.61,0.88,0.75
