,thrust.csv,k3b.csv,mp-rechnungs-und-kundenverwaltung.csv,fityk.csv
fityk.csv,0.25,0.69,0.38,1.0
k3b.csv,0.0,1.0,0.39,0.75
mp-rechnungs-und-kundenverwaltung.csv,0.33,0.67,1.0,0.47
thrust.csv,0.94,0.71,0.26,0.5
