,thrust.csv,k3b.csv,mp-rechnungs-und-kundenverwaltung.csv,fityk.csv
fityk.csv,0.36,0.5,0.53,1.0
k3b.csv,0.0,0.96,0.63,0.51
mp-rechnungs-und-kundenverwaltung.csv,0.21,0.48,0.93,0.21
thrust.csv,0.95,0.48,0.22,0.06
