,scenemonitor.csv,pustefix.csv,haggle.csv,avisynth2.csv,ibatisdb.csv,ngl.csv,jas.csv,wsmt.csv,mesa3d.csv,coot.csv
avisynth2.csv,0.18,0.0,0.11,0.99,0.07,0.0,0.0,0.24,0.07,0.0
coot.csv,0.56,0.37,0.62,0.0,0.44,0.53,0.35,0.53,0.0,0.71
haggle.csv,0.29,0.61,0.6,0.0,0.32,0.16,0.28,0.2,0.33,0.31
ibatisdb.csv,0.24,0.53,0.22,0.0,0.81,0.25,0.0,0.26,0.58,0.59
jas.csv,0.18,0.43,0.45,0.69,0.13,0.62,0.87,0.63,0.59,0.43
mesa3d.csv,0.72,0.62,0.58,0.89,0.61,0.66,0.29,0.23,0.55,0.55
ngl.csv,0.6,0.57,0.48,0.67,0.41,0.61,0.64,0.36,0.24,0.71
pustefix.csv,0.12,0.64,0.63,0.54,0.2,0.55,0.24,0.37,0.67,0.62
scenemonitor.csv,0.71,0.3,0.15,0.0,0.13,0.45,0.14,0.26,0.0,0.14
wsmt.csv,0.6,0.16,0.1,0.38,0.1,0.12,0.51,0.78,0.0,0.06
