,etics.csv,badtrinity-zero.csv,mcore3d.csv,xbplayer.csv,kvs.csv,monetdb.csv,modellus.csv,boost.csv,gusanos.csv,projecteqemu.csv,pydev.csv,codepurge.csv,bibletime.csv
badtrinity-zero.csv,0.24,0.38,0.3,0.0,0.79,0.78,0.0,0.76,0.0,0.04,0.25,0.41,0.5
bibletime.csv,0.81,0.41,0.6,0.29,0.63,0.49,0.26,0.33,0.41,0.56,0.55,0.19,0.21
boost.csv,0.4,0.32,0.56,0.25,0.34,0.27,0.31,0.33,0.17,0.62,0.62,0.37,0.29
codepurge.csv,0.17,0.46,0.28,0.6,0.41,0.47,0.17,0.16,0.31,0.49,0.22,0.22,0.43
etics.csv,0.19,0.1,0.37,0.31,0.05,0.3,0.07,0.12,0.21,0.27,0.14,0.15,0.14
gusanos.csv,0.4,0.26,0.3,0.64,0.2,0.73,0.42,0.68,0.24,0.11,0.49,0.54,0.36
kvs.csv,0.24,0.24,0.07,0.38,0.17,0.34,0.12,0.33,0.34,0.22,0.39,0.01,0.36
mcore3d.csv,0.02,0.22,0.46,0.41,0.7,0.33,0.83,0.1,0.17,0.56,0.17,0.31,0.29
modellus.csv,0.12,0.2,0.35,0.54,0.07,0.23,0.2,0.44,0.41,0.24,0.38,0.7,0.36
monetdb.csv,0.0,0.15,0.49,0.11,0.14,0.29,0.27,0.33,0.1,0.33,0.52,0.47,0.07
projecteqemu.csv,0.33,0.13,0.26,0.67,0.03,0.29,0.13,0.16,0.21,0.29,0.86,0.23,0.36
pydev.csv,0.26,0.28,0.25,0.26,0.66,0.43,0.28,0.1,0.14,0.6,0.28,0.23,0.36
xbplayer.csv,0.07,0.26,0.23,0.27,0.03,0.12,0.16,0.46,0.1,0.31,0.65,0.37,0.29
