,etics.csv,badtrinity-zero.csv,mcore3d.csv,xbplayer.csv,kvs.csv,monetdb.csv,modellus.csv,boost.csv,gusanos.csv,projecteqemu.csv,pydev.csv,codepurge.csv,bibletime.csv
badtrinity-zero.csv,0.53,0.42,0.61,0.0,0.4,0.37,0.8,0.5,0.0,0.86,0.63,0.68,0.38
bibletime.csv,0.42,0.42,0.41,0.54,0.36,0.35,0.41,0.46,0.42,0.34,0.35,0.69,0.38
boost.csv,0.44,0.58,0.43,0.44,0.59,0.49,0.38,0.56,0.44,0.38,0.37,0.54,0.4
codepurge.csv,0.54,0.46,0.54,0.38,0.46,0.37,0.56,0.77,0.39,0.41,0.53,0.62,0.72
etics.csv,0.5,0.71,0.48,0.53,0.86,0.44,0.58,0.78,0.48,0.47,0.94,0.86,0.42
gusanos.csv,0.46,0.54,0.53,0.4,0.61,0.32,0.43,0.47,0.4,0.91,0.34,0.46,0.43
kvs.csv,0.53,0.67,0.94,0.63,0.61,0.56,0.94,0.51,0.61,0.62,0.4,0.5,0.85
mcore3d.csv,0.0,0.56,0.43,0.39,0.41,0.42,0.46,0.84,0.47,0.35,0.62,0.64,0.44
modellus.csv,0.64,0.66,0.52,0.45,0.86,0.53,0.42,0.53,0.46,0.91,0.51,0.5,0.42
monetdb.csv,0.0,0.61,0.43,0.95,0.91,0.45,0.45,0.67,0.65,0.66,0.57,0.54,0.88
projecteqemu.csv,0.57,0.67,0.68,0.41,0.75,0.46,0.73,0.71,0.61,0.5,0.4,0.76,0.48
pydev.csv,0.45,0.5,0.45,0.45,0.4,0.37,0.58,0.71,0.59,0.35,0.51,0.57,0.35
xbplayer.csv,0.86,0.52,0.54,0.49,0.8,0.61,0.51,0.41,0.53,0.41,0.36,0.52,0.4
