,gtad.csv,projectts.csv,scen-connect.csv,wxlua.csv,ipfire-wall.csv,cubefs.csv,mumble.csv,irplus.csv,powerfolder.csv,smartgwt.csv,ondex.csv,fleet-simulator.csv,hibernate.csv,geogebra.csv,quantlib.csv,tweetsharp.csv
cubefs.csv,55.0,1.0,58.0,0.0,4.0,0.0,3.0,2.0,83.0,2.0,0.0,0.0,29.0,4.0,2.0,0.0
fleet-simulator.csv,54.0,1.0,21.0,0.0,7.0,0.0,18.0,2.0,76.0,4.0,2.0,0.0,3.0,2.0,1.0,0.0
geogebra.csv,22.0,2.0,22.0,0.0,4.0,0.0,11.0,10.0,19.0,4.0,1.0,0.0,1.0,3.0,11.0,0.0
gtad.csv,4.0,0.0,21.0,0.0,2.0,0.0,2.0,5.0,125.0,1.0,0.0,0.0,2.0,0.0,118.0,0.0
hibernate.csv,38.0,0.0,61.0,0.0,2.0,0.0,19.0,3.0,68.0,2.0,1.0,0.0,4.0,0.0,4.0,1.0
ipfire-wall.csv,2.0,0.0,61.0,1.0,1.0,0.0,2.0,7.0,34.0,2.0,11.0,0.0,2.0,11.0,11.0,0.0
irplus.csv,23.0,0.0,7.0,0.0,3.0,3.0,5.0,2.0,7.0,14.0,15.0,0.0,3.0,0.0,1.0,0.0
mumble.csv,9.0,0.0,61.0,0.0,54.0,0.0,0.0,2.0,72.0,1.0,1.0,0.0,11.0,4.0,4.0,1.0
ondex.csv,24.0,63.0,61.0,0.0,7.0,0.0,7.0,2.0,74.0,8.0,0.0,0.0,3.0,0.0,6.0,0.0
powerfolder.csv,5.0,0.0,61.0,0.0,10.0,0.0,7.0,2.0,3.0,18.0,0.0,1.0,2.0,0.0,9.0,0.0
projectts.csv,24.0,0.0,53.0,0.0,3.0,0.0,11.0,8.0,21.0,0.0,8.0,1.0,3.0,0.0,6.0,0.0
quantlib.csv,72.0,63.0,61.0,0.0,54.0,0.0,89.0,0.0,125.0,2.0,2.0,2.0,13.0,9.0,6.0,56.0
smartgwt.csv,36.0,2.0,21.0,0.0,3.0,0.0,13.0,0.0,4.0,1.0,0.0,2.0,0.0,0.0,12.0,1.0
tweetsharp.csv,72.0,0.0,59.0,0.0,5.0,0.0,6.0,0.0,79.0,25.0,1.0,2.0,11.0,6.0,2.0,0.0
wxlua.csv,45.0,1.0,61.0,0.0,4.0,0.0,16.0,1.0,1.0,1.0,2.0,2.0,6.0,9.0,5.0,0.0
