,qtractor.csv,quarkplayer.csv,open-data-kit.csv,turbotrader-bos.csv,ng4j.csv
ng4j.csv,0.53,0.61,0.5,0.44,0.59
open-data-kit.csv,0.39,0.41,0.48,0.47,0.55
qtractor.csv,0.5,0.42,0.52,0.38,0.73
quarkplayer.csv,0.85,0.94,0.89,0.89,0.75
turbotrader-bos.csv,0.89,0.83,0.85,0.49,0.93
