,flylinkdc.csv,powerfolder-.csv,ltp.csv,pfaedit.csv,aime.csv,qtwin.csv
aime.csv,0.0,3.0,0.0,0.0,1.0,631.0
flylinkdc.csv,1.0,1.0,0.0,0.0,3.0,1387.0
ltp.csv,5.0,1.0,2.0,0.0,11.0,1333.0
pfaedit.csv,1.0,0.0,0.0,0.0,1.0,144.0
powerfolder-.csv,2.0,2.0,1.0,88.0,13.0,607.0
qtwin.csv,135.0,0.0,471.0,88.0,2.0,30.0
