,red5.csv,thrust.csv,miranda-icq.csv,dataobjectsdotnet.csv
dataobjectsdotnet.csv,0.59,0.0,0.31,0.99
miranda-icq.csv,0.67,0.24,0.98,0.41
red5.csv,1.0,0.11,0.28,0.42
thrust.csv,0.55,0.94,0.24,0.46
