,red5.csv,thrust.csv,miranda-icq.csv,dataobjectsdotnet.csv
dataobjectsdotnet.csv,0.23,0.0,0.54,1.0
miranda-icq.csv,0.56,0.29,0.98,0.31
red5.csv,1.0,0.12,0.9,0.59
thrust.csv,0.14,0.94,0.33,0.36
