,red5.csv,thrust.csv,miranda-icq.csv,dataobjectsdotnet.csv
dataobjectsdotnet.csv,0.76,0.0,0.4,0.65
miranda-icq.csv,0.42,0.62,0.81,0.68
red5.csv,0.44,0.67,0.38,0.42
thrust.csv,0.91,0.82,0.86,0.69
