,red5.csv,thrust.csv,miranda-icq.csv,dataobjectsdotnet.csv
dataobjectsdotnet.csv,0.24,0.02,0.41,0.01
miranda-icq.csv,0.41,0.34,0.01,0.35
red5.csv,0.0,0.34,0.8,0.63
thrust.csv,0.17,0.02,0.35,0.32
