,pokeglobal.csv,robocode.csv,gogoego.csv,uwom-server.csv,algebsql.csv,jhotdraw.csv,autoopencas.csv,springside.csv,jam-daq.csv,trinitycore.csv
algebsql.csv,1.0,0.33,0.29,0.23,1.0,0.08,0.38,0.57,0.46,0.23
autoopencas.csv,0.43,0.38,0.19,0.27,0.53,0.16,1.0,0.22,0.36,0.26
gogoego.csv,0.82,0.75,0.99,0.29,0.3,0.18,0.23,0.36,0.5,0.3
jam-daq.csv,0.67,0.64,0.37,0.53,0.2,0.32,0.21,0.7,1.0,0.55
jhotdraw.csv,0.51,0.54,0.31,0.29,0.44,1.0,0.19,0.33,0.58,0.22
pokeglobal.csv,1.0,0.45,0.26,0.3,0.53,0.21,0.25,0.53,0.52,0.29
robocode.csv,0.55,1.0,0.36,0.12,0.14,0.25,0.0,0.26,0.65,0.13
springside.csv,0.74,0.55,0.3,0.25,0.26,0.25,0.27,0.98,0.58,0.23
trinitycore.csv,0.55,0.39,0.2,1.0,0.2,0.38,0.23,0.58,0.59,1.0
uwom-server.csv,0.5,0.43,0.27,1.0,0.36,0.11,0.33,0.45,0.5,0.96
