,pokeglobal.csv,robocode.csv,gogoego.csv,uwom-server.csv,algebsql.csv,jhotdraw.csv,autoopencas.csv,springside.csv,jam-daq.csv,trinitycore.csv
algebsql.csv,0.0,2.0,16.0,8.0,0.0,15.0,10.0,0.0,1.0,8.0
autoopencas.csv,4.0,1.0,3.0,8.0,9.0,0.0,0.0,38.0,0.0,10.0
gogoego.csv,1.0,0.0,0.0,7.0,2.0,0.0,1.0,12.0,2.0,6.0
jam-daq.csv,0.0,1.0,0.0,0.0,5.0,7.0,4.0,0.0,0.0,0.0
jhotdraw.csv,4.0,0.0,4.0,3.0,7.0,0.0,11.0,8.0,0.0,4.0
pokeglobal.csv,0.0,3.0,11.0,4.0,6.0,20.0,15.0,0.0,2.0,5.0
robocode.csv,4.0,0.0,0.0,14.0,3.0,0.0,166.0,0.0,3.0,14.0
springside.csv,0.0,1.0,6.0,13.0,0.0,1.0,6.0,0.0,5.0,13.0
trinitycore.csv,0.0,1.0,1.0,0.0,5.0,0.0,6.0,4.0,0.0,0.0
uwom-server.csv,1.0,1.0,1.0,0.0,3.0,6.0,4.0,2.0,0.0,0.0
