,pokeglobal.csv,robocode.csv,gogoego.csv,uwom-server.csv,algebsql.csv,jhotdraw.csv,autoopencas.csv,springside.csv,jam-daq.csv,trinitycore.csv
algebsql.csv,0.12,0.13,0.19,0.23,0.97,0.06,0.93,0.16,0.29,0.25
autoopencas.csv,0.37,0.43,0.31,0.41,0.55,0.21,0.98,0.33,0.09,0.44
gogoego.csv,0.34,0.13,0.93,0.36,0.18,0.1,0.14,0.18,0.07,0.38
jam-daq.csv,0.34,0.39,0.4,0.36,0.06,0.31,0.14,0.14,0.96,0.42
jhotdraw.csv,0.51,0.3,0.25,0.04,0.42,0.9,0.09,0.1,0.16,0.04
pokeglobal.csv,1.0,0.61,0.71,0.8,0.94,0.73,0.7,0.65,0.78,0.84
robocode.csv,0.41,0.96,0.45,0.07,0.06,0.4,0.0,0.43,0.53,0.07
springside.csv,0.56,0.78,0.66,0.36,0.18,0.82,0.5,1.0,0.73,0.33
trinitycore.csv,0.39,0.39,0.3,0.77,0.12,0.21,0.07,0.39,0.42,0.93
uwom-server.csv,0.15,0.43,0.37,0.93,0.15,0.24,0.27,0.1,0.36,0.91
