,dsworkbench.csv,adonthell.csv,freelords.csv,jpaul.csv,scenemonitor.csv,avisynth2.csv,gephex.csv,ngl.csv,jas.csv,coot.csv,synecdoche.csv
adonthell.csv,0.77,0.05,0.74,0.6,0.67,0.68,0.7,0.84,0.97,0.95,0.66
avisynth2.csv,0.96,1.0,0.99,1.0,1.0,0.0,1.0,0.99,1.0,1.0,1.0
coot.csv,0.78,0.69,0.68,0.61,0.82,0.73,0.65,0.67,0.89,0.06,0.72
dsworkbench.csv,0.0,0.52,0.72,0.63,0.58,0.81,0.7,0.84,0.85,0.88,0.73
freelords.csv,0.79,0.85,0.0,0.71,0.77,0.89,0.85,0.86,0.64,0.86,0.77
gephex.csv,0.69,0.67,0.57,0.54,0.82,1.01,0.03,0.78,0.89,0.86,0.81
jas.csv,0.9,0.93,0.84,0.94,0.95,1.0,0.81,0.81,0.0,0.85,0.72
jpaul.csv,0.78,1.0,0.96,0.0,0.61,1.0,1.0,0.88,0.8,0.91,1.0
ngl.csv,0.86,0.64,0.69,0.43,0.88,0.37,0.76,0.02,0.79,0.63,0.84
scenemonitor.csv,0.59,0.77,0.81,0.61,0.0,0.84,0.71,0.82,0.8,0.67,0.89
synecdoche.csv,0.52,0.75,0.6,0.77,0.66,0.72,0.83,0.79,0.74,0.89,0.03
