,dsworkbench.csv,adonthell.csv,freelords.csv,jpaul.csv,scenemonitor.csv,avisynth2.csv,gephex.csv,ngl.csv,jas.csv,coot.csv,synecdoche.csv
adonthell.csv,0.69,0.02,0.21,0.29,0.16,0.6,0.29,0.59,0.42,0.3,0.3
avisynth2.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coot.csv,0.06,0.38,0.29,0.17,0.19,0.31,0.41,0.46,0.16,0.03,0.42
dsworkbench.csv,0.0,0.23,0.25,0.41,0.19,0.47,0.2,0.45,0.41,0.22,0.23
freelords.csv,0.75,0.81,0.0,0.68,0.69,0.89,0.78,0.84,0.51,0.73,0.72
gephex.csv,0.69,0.6,0.14,0.27,0.16,0.13,0.02,0.68,0.17,0.78,0.7
jas.csv,0.31,0.5,0.43,0.0,0.03,0.0,0.29,0.28,0.0,0.81,0.3
jpaul.csv,0.06,0.0,0.07,0.0,0.12,0.05,0.0,0.12,0.29,0.14,0.0
ngl.csv,0.5,0.35,0.29,0.32,0.22,0.37,0.32,0.01,0.24,0.46,0.28
scenemonitor.csv,0.56,0.71,0.79,0.59,0.0,0.84,0.54,0.76,0.71,0.65,0.88
synecdoche.csv,0.38,0.21,0.43,0.32,0.56,0.27,0.27,0.43,0.4,0.27,0.0
