,dsworkbench.csv,adonthell.csv,freelords.csv,jpaul.csv,scenemonitor.csv,avisynth2.csv,gephex.csv,ngl.csv,jas.csv,coot.csv,synecdoche.csv
adonthell.csv,0.75,0.98,0.79,0.4,0.58,0.05,0.68,0.44,0.02,0.27,0.48
avisynth2.csv,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
coot.csv,0.92,0.58,0.79,0.5,0.4,0.05,0.67,0.57,0.05,0.97,0.4
dsworkbench.csv,1.0,0.74,0.79,0.35,0.6,0.03,0.74,0.43,0.04,0.43,0.47
freelords.csv,0.76,0.54,1.0,0.33,0.37,0.05,0.6,0.53,0.08,0.45,0.4
gephex.csv,0.8,0.6,0.9,0.45,0.44,0.0,0.99,0.51,0.05,0.47,0.36
jas.csv,0.62,0.35,0.65,1.0,0.5,0.0,0.59,0.5,1.0,0.5,0.43
jpaul.csv,0.92,0.0,0.6,1.0,0.67,0.0,0.0,0.55,0.06,0.44,0.0
ngl.csv,0.65,0.62,0.78,0.48,0.3,0.12,0.63,0.99,0.07,0.57,0.33
scenemonitor.csv,0.82,0.55,0.75,0.37,1.0,0.05,0.63,0.52,0.06,0.59,0.41
synecdoche.csv,0.84,0.63,0.79,0.28,0.42,0.06,0.58,0.47,0.06,0.38,1.0
