,rhex.csv,qgo.csv,dynalloy.csv,jcae.csv,nosleepsoftware.csv,applet2app.csv,yield.csv,blue-c.csv,hydrogen.csv,virtuoso.csv,xined.csv,lphant.csv,autowikibrowser.csv,rocrail.csv,quickfast.csv
applet2app.csv,5.0,12.0,2.0,31.0,6.0,0.0,3.0,1.0,3.0,4.0,6.0,0.0,2.0,8.0,0.0
autowikibrowser.csv,8.0,3.0,0.0,26.0,0.0,2.0,1.0,1.0,13.0,1.0,5.0,0.0,0.0,8.0,0.0
blue-c.csv,4.0,7.0,2.0,11.0,0.0,8.0,2.0,0.0,5.0,19.0,0.0,4.0,7.0,10.0,10.0
dynalloy.csv,5.0,4.0,0.0,13.0,62.0,7.0,0.0,2.0,12.0,2.0,0.0,3.0,0.0,11.0,1.0
hydrogen.csv,1.0,14.0,5.0,10.0,8.0,6.0,5.0,1.0,0.0,2.0,5.0,1.0,10.0,3.0,1.0
jcae.csv,92.0,0.0,1.0,0.0,62.0,1.0,0.0,54.0,0.0,181.0,0.0,0.0,0.0,2.0,1.0
lphant.csv,20.0,7.0,1.0,20.0,1.0,6.0,10.0,0.0,12.0,13.0,6.0,0.0,13.0,6.0,1.0
nosleepsoftware.csv,8.0,1.0,3.0,19.0,0.0,0.0,3.0,3.0,8.0,7.0,0.0,0.0,1.0,16.0,1.0
qgo.csv,5.0,0.0,0.0,3.0,1.0,13.0,1.0,0.0,10.0,6.0,4.0,6.0,1.0,3.0,0.0
quickfast.csv,22.0,2.0,0.0,30.0,5.0,0.0,0.0,0.0,29.0,13.0,2.0,5.0,3.0,16.0,0.0
rhex.csv,0.0,1.0,6.0,18.0,5.0,10.0,4.0,0.0,1.0,8.0,0.0,54.0,7.0,0.0,0.0
rocrail.csv,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,1.0,0.0,1.0,11.0,0.0,0.0
virtuoso.csv,5.0,7.0,2.0,45.0,0.0,8.0,5.0,0.0,18.0,0.0,0.0,0.0,3.0,9.0,8.0
xined.csv,3.0,12.0,2.0,27.0,62.0,8.0,0.0,0.0,1.0,3.0,0.0,1.0,6.0,0.0,1.0
yield.csv,14.0,1.0,0.0,25.0,5.0,3.0,0.0,0.0,11.0,1.0,0.0,8.0,3.0,12.0,3.0
