,rhex.csv,qgo.csv,dynalloy.csv,jcae.csv,nosleepsoftware.csv,applet2app.csv,yield.csv,blue-c.csv,hydrogen.csv,virtuoso.csv,xined.csv,lphant.csv,autowikibrowser.csv,rocrail.csv,quickfast.csv
applet2app.csv,0.55,0.74,0.66,0.59,0.54,0.05,0.83,0.58,0.69,0.88,0.65,0.53,0.64,0.46,0.57
autowikibrowser.csv,0.64,0.48,0.78,0.67,0.48,0.56,0.58,0.61,0.48,0.63,0.64,0.64,0.0,0.42,0.42
blue-c.csv,0.67,0.59,0.56,0.52,0.76,0.72,0.54,0.03,0.8,0.8,0.72,0.63,0.68,0.44,0.83
dynalloy.csv,0.69,0.7,0.04,0.8,1.04,0.64,0.45,0.68,0.49,0.67,0.52,0.69,0.76,0.81,0.8
hydrogen.csv,0.67,0.67,0.82,0.59,0.79,0.73,0.87,0.8,0.06,0.56,0.81,0.86,0.75,0.38,0.68
jcae.csv,1.0,0.93,0.97,0.11,1.0,0.91,0.97,1.0,0.88,1.0,0.8,0.86,0.84,0.95,0.98
lphant.csv,0.63,0.63,0.54,0.64,0.71,0.63,0.68,0.43,0.44,0.59,0.71,0.0,0.6,0.43,0.51
nosleepsoftware.csv,0.51,0.47,0.94,0.52,0.06,0.7,0.84,0.84,0.51,0.57,0.71,0.91,0.66,0.52,0.5
qgo.csv,0.59,0.0,0.83,0.37,0.69,0.61,0.76,0.87,0.42,0.54,0.57,0.65,0.41,0.33,0.55
quickfast.csv,0.72,0.59,0.73,0.72,0.56,0.6,0.62,0.65,0.59,0.7,0.65,0.48,0.45,0.59,0.02
rhex.csv,0.25,0.65,0.85,0.72,0.88,0.78,0.94,0.97,0.94,0.91,0.9,1.0,0.94,0.64,0.96
rocrail.csv,0.67,0.57,0.87,0.67,0.81,0.69,0.84,0.8,0.63,0.54,0.7,0.69,0.71,0.0,0.83
virtuoso.csv,0.8,0.55,0.86,0.8,0.88,0.85,0.66,0.58,0.63,0.07,0.57,0.81,0.52,0.6,0.81
xined.csv,0.75,0.82,0.74,0.8,1.0,0.68,0.84,0.93,0.51,0.81,0.0,0.79,0.87,0.56,0.9
yield.csv,0.71,0.58,0.55,0.65,0.63,0.61,0.03,0.51,0.65,0.56,0.75,0.65,0.58,0.55,0.56
