,baadengine.csv,avifile.csv,werx.csv,plog4u.csv,pokeglobal.csv,jgameai.csv,zealos.csv,gogoego.csv,jhotdraw.csv,patterntesting.csv,httpcontentparser.csv,jaxlib.csv,bibedt.csv,unflobtactical.csv,snakeyaml.csv,impala.csv,cascading.csv,dataobjectsdotnet.csv,loki-lib.csv,exl.csv
avifile.csv,0.97,0.93,0.5,0.96,0.75,0.84,0.97,0.82,0.68,0.54,0.59,0.32,0.94,0.92,0.56,0.92,0.97,0.5,0.5,0.79
baadengine.csv,0.48,0.35,0.57,0.38,0.39,0.46,0.54,0.34,0.36,0.34,0.42,0.29,0.41,0.33,0.38,0.33,0.36,0.39,0.44,0.45
bibedt.csv,0.99,0.88,0.56,0.55,0.62,0.6,0.58,0.95,0.47,0.86,0.71,0.85,0.92,0.56,0.89,0.77,0.9,0.67,0.65,0.48
cascading.csv,0.54,0.43,0.39,0.54,0.4,0.5,0.65,0.43,0.43,0.57,0.6,0.39,0.46,0.48,0.53,0.54,0.43,0.51,0.67,0.46
dataobjectsdotnet.csv,0.44,0.36,0.45,0.64,0.49,0.9,0.45,0.45,0.98,0.45,0.5,0.65,0.37,0.67,0.48,0.55,0.59,0.61,0.49,0.46
exl.csv,0.62,0.42,0.42,0.48,0.62,0.53,0.62,0.48,0.48,0.67,0.55,0.5,0.41,0.52,0.6,0.52,0.48,0.61,0.91,0.4
gogoego.csv,0.45,0.42,0.35,0.45,0.45,0.55,0.52,0.61,0.46,0.4,0.4,0.64,0.33,0.37,0.5,0.35,0.39,0.44,0.59,0.33
httpcontentparser.csv,0.66,0.47,0.54,0.79,0.52,0.88,0.75,0.46,0.38,0.8,0.62,0.38,0.5,0.44,0.49,0.51,0.57,0.54,0.65,0.44
impala.csv,0.97,0.54,0.93,0.6,0.55,0.49,0.71,0.53,0.57,0.83,0.6,0.8,0.62,0.54,0.93,0.83,0.97,0.98,0.68,0.57
jaxlib.csv,0.59,0.74,0.85,0.56,0.48,0.65,0.52,0.55,0.98,0.59,0.47,0.75,0.64,0.45,0.96,0.69,0.61,0.81,0.68,0.44
jgameai.csv,0.58,0.38,0.89,0.81,0.88,0.68,0.54,0.68,0.98,0.67,0.61,0.71,0.39,0.42,0.97,0.53,0.63,0.9,0.0,0.92
jhotdraw.csv,0.51,0.51,0.41,0.53,0.43,0.57,0.0,0.38,0.88,0.79,0.87,0.42,0.93,0.81,0.61,0.55,0.46,0.62,0.86,0.52
loki-lib.csv,0.96,0.55,0.53,0.45,0.42,0.63,0.56,0.46,0.4,0.41,0.62,0.4,0.54,0.43,0.94,0.48,0.68,0.53,0.54,0.55
patterntesting.csv,0.42,0.38,0.4,0.41,0.38,0.51,0.54,0.35,0.38,0.48,0.45,0.36,0.43,0.38,0.41,0.33,0.4,0.45,0.46,0.46
pokeglobal.csv,0.41,0.38,0.37,0.73,0.44,0.5,0.54,0.52,0.37,0.45,0.51,0.39,0.36,0.46,0.46,0.41,0.45,0.56,0.67,0.46
snakeyaml.csv,0.56,0.62,0.72,0.56,0.55,0.44,0.47,0.71,0.39,0.9,0.56,0.67,0.0,0.6,0.66,0.96,0.57,0.61,0.75,0.33
unflobtactical.csv,0.45,0.48,0.39,0.51,0.62,0.51,0.8,0.57,0.44,0.76,0.53,0.5,0.48,0.39,0.93,0.56,0.56,0.56,0.58,0.49
werx.csv,0.42,0.41,0.37,0.41,0.41,0.49,0.54,0.38,0.36,0.43,0.45,0.3,0.39,0.38,0.41,0.33,0.4,0.43,0.44,0.73
zealos.csv,0.98,0.83,0.95,0.91,0.5,0.88,0.66,0.97,0.97,0.8,0.83,0.8,0.5,0.0,0.0,0.75,0.67,0.86,0.67,0.0
