,xbrlapi.csv,vdsf.csv,codeblocks.csv,ldview.csv,red5.csv,bulmages.csv,ctrlr.csv,ipfire-wall.csv,t-2.csv,libmesh.csv,free-evolution.csv,xcf.csv,l2j.csv,jruby.csv,tencompetence.csv,fulguro.csv,gisgraphy.csv
bulmages.csv,0.67,0.0,0.0,0.6,0.0,0.48,0.0,0.67,0.95,0.89,0.9,0.83,0.85,0.89,0.98,0.5,0.91
codeblocks.csv,0.42,0.67,0.46,0.49,0.92,0.44,0.69,0.38,0.68,0.63,0.54,0.8,0.72,0.59,0.58,0.41,0.46
ctrlr.csv,0.92,0.0,0.94,0.92,0.86,0.95,0.83,0.91,0.99,0.95,0.97,0.81,0.68,0.94,0.82,0.77,0.94
free-evolution.csv,0.41,0.26,0.62,0.62,0.37,0.45,0.75,0.5,0.51,0.48,0.59,0.44,0.6,0.47,0.44,0.83,0.39
fulguro.csv,0.37,0.49,0.92,0.0,0.34,0.48,0.91,0.6,0.74,0.53,0.64,0.4,0.62,0.7,0.98,0.72,0.32
gisgraphy.csv,0.88,0.92,0.65,0.6,0.5,0.75,0.64,0.45,0.82,0.58,0.6,0.92,0.9,0.92,0.95,0.65,0.71
ipfire-wall.csv,0.45,0.46,0.62,0.86,0.46,0.41,0.76,0.42,0.93,0.48,0.93,0.89,0.65,0.6,0.91,0.41,0.37
jruby.csv,0.47,0.26,0.75,0.0,0.62,0.47,0.0,0.0,0.78,0.8,0.8,0.56,0.66,0.54,0.57,0.0,0.47
l2j.csv,0.47,0.57,0.4,0.39,0.38,0.4,0.48,0.39,0.44,0.41,0.47,0.4,0.46,0.54,0.61,0.47,0.37
ldview.csv,0.36,0.26,0.55,0.64,0.33,0.44,0.65,0.38,0.47,0.52,0.55,0.47,0.44,0.49,0.57,0.51,0.35
libmesh.csv,0.95,0.0,0.97,0.74,0.95,0.95,0.67,0.77,0.71,0.97,0.68,0.6,0.97,0.97,0.64,0.71,0.78
red5.csv,0.37,0.47,0.45,0.51,0.46,0.48,0.47,0.4,0.44,0.64,0.55,0.43,0.43,0.46,0.5,0.41,0.32
t-2.csv,0.79,0.99,0.47,0.6,0.94,0.55,0.5,0.79,0.79,0.94,0.72,0.56,0.98,0.69,0.69,0.95,0.44
tencompetence.csv,0.79,0.99,0.93,0.0,0.85,0.94,0.76,0.81,0.68,0.58,0.77,0.93,0.66,0.8,0.67,0.69,0.74
vdsf.csv,0.45,0.99,0.44,0.64,0.35,0.47,0.55,0.36,0.56,0.51,0.49,0.49,0.42,0.48,0.48,0.49,0.35
xbrlapi.csv,0.46,0.0,0.9,0.46,0.46,0.5,0.8,0.53,1.0,0.44,0.93,0.9,0.97,0.0,0.99,0.5,0.64
xcf.csv,0.43,0.45,0.5,0.45,0.49,0.39,0.71,0.36,0.46,0.54,0.55,0.42,0.67,0.42,0.5,0.44,0.35
