,google-collections.csv,forester-atv.csv,mediate.csv,st-filteredstatistics.csv,projectfactory.csv,geotools.csv,l2j.csv,thedata.csv
forester-atv.csv,0.16,0.76,0.61,0.26,0.2,0.33,0.4,0.0
geotools.csv,0.83,0.59,0.72,0.81,0.55,0.51,0.44,0.15
google-collections.csv,0.9,0.54,0.72,0.86,0.64,0.44,0.84,0.11
l2j.csv,0.14,0.56,0.74,0.58,0.62,0.32,0.79,0.08
mediate.csv,0.67,0.53,0.65,0.6,0.16,0.29,0.55,0.29
projectfactory.csv,0.38,0.58,0.65,0.7,0.57,0.52,0.75,0.21
st-filteredstatistics.csv,0.57,0.37,0.72,0.89,0.63,0.45,0.74,0.09
thedata.csv,0.81,0.63,0.66,0.81,0.65,0.38,0.8,0.62
