,jlinalg.csv,psycle.csv,superwaba.csv,wxcrp.csv,fritzing.csv,arianne.csv,playerstage.csv,knowledge.csv,bl-toolkit.csv,gnukeda.csv,enlightenment.csv,massiv.csv,alsa.csv,amateur-scrolls.csv,doomlegacy.csv
alsa.csv,0.26,0.15,0.15,0.34,0.15,0.3,0.36,0.27,0.32,0.18,0.42,0.54,0.99,0.12,0.28
amateur-scrolls.csv,0.39,0.12,0.37,0.12,0.5,0.35,0.17,0.39,0.45,0.04,0.27,0.76,0.24,0.96,0.15
arianne.csv,0.38,0.32,0.53,0.26,0.43,0.96,0.63,0.38,0.59,0.37,0.49,0.51,0.43,0.55,0.38
bl-toolkit.csv,0.66,0.42,0.51,0.61,0.58,0.48,0.61,0.66,0.99,0.45,0.37,0.7,0.53,0.73,0.44
doomlegacy.csv,0.46,0.56,0.53,0.68,0.4,0.54,0.6,0.6,0.47,0.6,0.33,0.55,0.58,0.51,1.0
enlightenment.csv,0.58,0.52,0.66,0.6,0.67,0.58,0.66,0.7,0.49,0.37,0.98,0.51,0.55,0.53,0.53
fritzing.csv,0.46,0.57,0.68,0.46,0.97,0.37,0.67,0.8,0.66,0.43,0.62,0.92,0.51,0.34,0.36
gnukeda.csv,0.89,0.59,0.64,0.5,0.64,0.55,0.64,0.68,0.42,0.98,0.49,0.8,0.27,0.48,0.59
jlinalg.csv,0.97,0.7,0.57,0.17,0.51,0.46,0.09,0.0,0.59,0.55,0.58,0.27,0.35,0.38,0.17
knowledge.csv,0.45,0.68,0.37,0.48,0.33,0.46,0.0,0.95,0.44,0.57,0.51,0.47,0.57,0.56,0.38
massiv.csv,0.02,0.0,0.0,0.04,0.05,0.01,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
playerstage.csv,0.43,0.41,0.55,0.54,0.7,0.3,0.98,0.61,0.3,0.32,0.52,0.71,0.33,0.35,0.43
psycle.csv,0.25,0.98,0.62,0.66,0.58,0.59,0.68,0.68,0.66,0.65,0.55,0.68,0.59,0.71,0.53
superwaba.csv,0.48,0.4,1.0,0.61,0.59,0.51,0.5,0.51,0.68,0.42,0.4,0.68,0.39,0.64,0.58
wxcrp.csv,0.26,0.29,0.48,0.95,0.64,0.41,0.33,0.19,0.32,0.16,0.31,0.29,0.47,0.12,0.19
