,xmemcached.csv,httpcontentparser.csv,bdbbasic.csv,qse.csv,google-gears.csv
bdbbasic.csv,0.42,0.56,0.63,0.45,0.45
google-gears.csv,0.48,0.54,0.48,0.45,0.5
httpcontentparser.csv,0.67,0.94,0.0,0.9,0.89
qse.csv,0.47,0.55,0.8,0.48,0.55
xmemcached.csv,0.68,0.89,0.5,0.48,0.66
