,capcode.csv,lmms.csv,linuxsh.csv,mcmc-jags.csv,scite-ru.csv,bl-toolkit.csv,nicepress.csv,sbml.csv,gpac.csv,mbse.csv,gebr.csv,gretl.csv,kowari.csv,libtorrent.csv,modellus.csv,kindb.csv,lufa-lib.csv,bibletime.csv,mplayer-ce.csv,miranda.csv
bibletime.csv,0.58,0.62,0.41,0.31,0.63,0.54,0.54,0.71,0.09,0.0,0.59,0.43,0.66,0.71,0.55,0.24,0.05,0.7,0.0,0.3
bl-toolkit.csv,0.61,0.47,0.0,0.0,0.32,0.76,0.37,0.32,0.58,0.0,0.21,0.0,0.56,0.5,0.52,0.0,0.0,0.37,0.0,0.45
capcode.csv,0.6,0.55,0.69,0.23,0.36,0.48,0.49,0.5,0.46,0.14,0.37,0.33,0.59,0.35,0.66,0.37,0.42,0.47,0.5,0.33
gebr.csv,0.42,0.47,0.17,0.0,0.58,0.65,0.05,0.24,0.6,0.09,0.69,0.7,0.13,0.0,0.05,0.0,0.13,0.27,0.05,0.13
gpac.csv,0.61,0.46,0.53,0.09,0.33,0.21,0.5,0.36,0.63,0.24,0.45,0.13,0.58,0.34,0.59,0.23,0.09,0.35,0.49,0.33
gretl.csv,0.61,0.7,0.74,0.53,0.22,0.31,0.52,0.47,0.38,0.61,0.64,0.68,0.69,0.65,0.65,0.76,0.45,0.65,0.09,0.56
kindb.csv,0.67,0.63,0.11,0.31,0.59,0.14,0.54,0.66,0.17,0.06,0.25,0.17,0.31,0.5,0.49,0.79,0.02,0.53,0.33,0.66
kowari.csv,0.55,0.45,0.31,0.62,0.0,0.19,0.52,0.64,0.05,0.13,0.34,0.49,0.6,0.55,0.43,0.66,0.25,0.52,0.04,0.51
libtorrent.csv,0.37,0.66,0.09,0.62,0.59,0.57,0.64,0.63,0.57,0.17,0.65,0.72,0.54,0.72,0.65,0.78,0.29,0.69,0.09,0.5
linuxsh.csv,0.1,0.4,0.81,0.45,0.0,0.69,0.54,0.34,0.6,0.58,0.43,0.2,0.0,0.25,0.68,0.18,0.06,0.56,0.52,0.44
lmms.csv,0.54,0.68,0.63,0.56,0.61,0.57,0.51,0.55,0.41,0.59,0.54,0.63,0.67,0.68,0.55,0.74,0.47,0.6,0.52,0.53
lufa-lib.csv,0.5,0.54,0.62,0.72,0.27,0.66,0.43,0.23,0.46,0.27,0.5,0.52,0.47,0.43,0.29,0.29,0.69,0.48,0.38,0.59
mbse.csv,0.5,0.46,0.3,0.62,0.63,0.1,0.43,0.49,0.43,0.72,0.53,0.64,0.71,0.59,0.23,0.47,0.2,0.6,0.52,0.66
mcmc-jags.csv,0.05,0.64,0.53,0.79,0.52,0.0,0.64,0.6,0.17,0.05,0.66,0.64,0.0,0.63,0.54,0.75,0.5,0.58,0.48,0.62
miranda.csv,0.59,0.6,0.0,0.45,0.0,0.07,0.51,0.59,0.05,0.2,0.0,0.07,0.61,0.66,0.09,0.0,0.05,0.54,0.06,0.72
modellus.csv,0.37,0.51,0.68,0.24,0.0,0.62,0.63,0.48,0.63,0.49,0.55,0.6,0.6,0.46,0.78,0.69,0.64,0.69,0.17,0.51
mplayer-ce.csv,0.58,0.64,0.4,0.66,0.65,0.56,0.65,0.67,0.42,0.39,0.47,0.43,0.48,0.7,0.59,0.4,0.38,0.6,0.58,0.58
nicepress.csv,0.47,0.61,0.52,0.09,0.22,0.61,0.82,0.48,0.17,0.0,0.61,0.35,0.6,0.56,0.57,0.56,0.4,0.64,0.05,0.35
sbml.csv,0.68,0.67,0.09,0.58,0.63,0.69,0.66,0.75,0.62,0.64,0.49,0.66,0.53,0.66,0.66,0.74,0.09,0.65,0.54,0.6
scite-ru.csv,0.13,0.58,0.77,0.38,0.52,0.0,0.68,0.7,0.0,0.05,0.7,0.55,0.0,0.65,0.61,0.66,0.46,0.65,0.24,0.54
