,kvs.csv,phet.csv,jasperreports.csv,fido.csv,hibernate.csv,geogebra.csv,fluent-nhibernate.csv
fido.csv,0.0,0.0,0.23,0.97,0.24,0.01,0.28
fluent-nhibernate.csv,0.06,0.32,0.62,0.29,0.44,0.6,0.91
geogebra.csv,0.6,0.33,0.87,0.29,0.47,0.64,0.81
hibernate.csv,0.45,0.49,0.21,0.85,0.59,0.67,0.41
jasperreports.csv,0.54,0.58,0.94,0.29,0.5,0.39,0.54
kvs.csv,0.79,0.42,0.73,0.54,0.42,0.62,0.28
phet.csv,0.47,0.63,0.05,0.49,0.38,0.33,0.14
