,xbrlapi.csv,codeblocks.csv,utgb.csv,red5.csv,bulmages.csv,proftp.csv,grisbi.csv,t-2.csv,libmesh.csv,tcvp.csv,tart.csv,panda3d.csv,super-tux.csv,soar.csv,skia.csv,zemljanka.csv,tencompetence.csv
bulmages.csv,0.25,0.0,0.81,0.0,0.33,0.83,1.0,0.08,0.33,0.0,0.18,0.35,1.0,0.57,0.41,0.0,0.61
codeblocks.csv,0.54,0.83,0.78,0.8,0.23,0.5,0.88,0.17,0.45,0.11,0.06,0.26,0.99,1.0,0.32,0.95,0.54
grisbi.csv,0.49,0.77,0.55,0.6,0.24,0.5,0.98,0.1,0.35,0.12,0.07,0.36,0.97,0.52,0.38,0.97,0.65
libmesh.csv,0.5,0.0,0.46,0.38,0.22,0.06,0.65,0.02,0.55,0.08,0.0,0.29,0.91,0.52,0.25,1.0,0.64
panda3d.csv,0.44,0.8,0.54,0.59,0.24,0.42,1.0,0.07,0.31,0.23,0.05,0.42,0.93,0.57,0.37,0.97,0.57
proftp.csv,0.67,0.95,0.65,0.5,0.32,0.71,0.95,0.02,0.2,0.0,0.0,0.44,1.0,0.53,0.53,1.0,0.51
red5.csv,0.5,0.76,0.58,0.74,0.18,0.5,0.75,0.15,0.41,0.1,0.06,0.29,0.98,0.5,0.36,0.96,0.57
skia.csv,0.58,0.84,0.63,0.71,0.3,0.67,0.93,0.2,0.26,0.0,0.08,0.4,1.0,0.5,0.56,1.0,0.57
soar.csv,0.49,0.75,0.49,0.59,0.21,0.45,0.82,0.11,0.36,0.11,0.05,0.31,0.95,0.8,0.33,0.96,0.65
super-tux.csv,0.41,0.76,0.59,0.67,0.22,0.51,0.75,0.16,0.44,0.11,0.06,0.32,1.0,0.45,0.36,0.96,0.57
t-2.csv,0.5,0.76,0.71,0.69,0.22,0.38,0.81,0.34,0.61,0.11,0.08,0.27,0.96,0.54,0.22,0.92,0.58
tart.csv,0.67,0.79,0.53,0.56,0.32,0.51,0.91,0.1,0.33,0.12,0.19,0.41,0.97,0.5,0.34,1.0,0.51
tcvp.csv,0.5,0.83,0.5,1.0,0.0,0.0,1.0,0.38,0.0,0.26,0.0,0.0,1.0,0.0,0.14,0.86,0.0
tencompetence.csv,0.6,0.65,0.56,0.5,0.18,0.17,0.89,0.07,0.39,0.0,0.0,0.3,0.94,0.59,0.33,0.98,0.83
utgb.csv,0.22,0.83,0.78,0.68,0.29,0.51,1.0,0.0,0.29,0.13,0.08,0.5,1.0,0.5,0.44,0.98,0.59
xbrlapi.csv,0.62,0.86,0.48,0.57,0.29,0.8,0.97,0.15,0.33,0.0,0.05,0.29,0.5,0.56,0.4,0.0,0.61
zemljanka.csv,0.49,0.8,0.53,0.59,0.24,0.47,0.92,0.12,0.26,0.11,0.07,0.33,0.94,0.55,0.38,1.0,0.66
