,zscreen.csv,popeye-chess.csv,ossbuild.csv,quarkplayer.csv,turbotrader-bos.csv,omseek.csv,kml.csv,virtuoso.csv,gdis.csv,biodwh.csv,genoviz.csv
biodwh.csv,0.31,0.61,0.34,0.49,0.67,0.44,0.72,0.32,0.56,0.77,0.59
gdis.csv,0.44,0.71,0.5,0.75,0.64,0.57,0.68,0.34,0.84,0.52,0.44
genoviz.csv,0.11,0.24,0.04,0.11,0.37,0.11,0.0,0.2,0.05,0.54,0.98
kml.csv,0.66,0.33,0.0,0.21,0.21,0.51,0.81,0.17,0.62,0.33,0.0
omseek.csv,0.13,0.13,0.0,0.21,0.45,0.67,0.04,0.06,0.09,0.52,0.64
ossbuild.csv,0.66,0.82,0.73,0.65,0.66,0.67,0.07,0.47,0.37,0.37,0.56
popeye-chess.csv,0.42,0.66,0.31,0.63,0.7,0.52,0.55,0.64,0.64,0.29,0.78
quarkplayer.csv,0.16,0.48,0.5,0.71,0.46,0.36,0.48,0.24,0.37,0.2,0.0
turbotrader-bos.csv,0.4,0.67,0.29,0.31,0.69,0.38,0.61,0.64,0.58,0.46,0.55
virtuoso.csv,0.36,0.56,0.0,0.45,0.58,0.54,0.35,0.48,0.68,0.61,0.64
zscreen.csv,0.69,0.7,0.67,0.13,0.53,0.62,0.7,0.64,0.59,0.66,0.67
