,fontforge.csv,jfreereport.csv,freelords.csv,super-tux.csv
fontforge.csv,0.09,0.69,0.81,0.78
freelords.csv,0.88,0.78,0.01,0.67
jfreereport.csv,0.92,0.11,0.85,1.0
super-tux.csv,0.91,0.62,0.57,0.0
