,fontforge.csv,jfreereport.csv,freelords.csv,super-tux.csv
fontforge.csv,0.96,0.16,0.74,0.96
freelords.csv,0.31,0.14,1.0,0.96
jfreereport.csv,0.3,0.98,0.67,0.9
super-tux.csv,0.44,0.16,0.82,1.0
