,xbrlapi.csv,vdsf.csv,maidsafe-dht.csv,dvt.csv,gotjava.csv,htmlunit.csv,jaxen.csv,emulemorph.csv,jguard.csv,empserver.csv,kowari.csv,mimosa.csv,google-web-toolkit.csv
dvt.csv,0.83,0.94,0.94,0.07,0.29,0.91,1.13,1.0,0.84,0.76,0.89,0.88,0.77
empserver.csv,0.73,0.87,0.82,0.68,0.79,0.73,0.94,0.88,0.66,0.03,0.63,0.62,0.67
emulemorph.csv,1.0,1.0,1.0,1.04,1.0,0.99,1.0,0.33,0.82,1.0,1.01,0.99,0.98
google-web-toolkit.csv,0.84,0.94,0.82,0.71,0.56,0.65,0.69,1.1,0.65,0.81,0.58,0.67,0.01
htmlunit.csv,0.77,0.91,0.86,0.92,1.0,0.01,0.44,0.84,0.84,0.83,0.63,0.86,0.76
jaxen.csv,0.98,0.93,1.0,0.95,1.0,0.92,0.0,1.0,1.0,1.0,0.86,0.95,0.97
jguard.csv,0.7,0.94,0.83,0.48,0.63,0.76,0.72,0.72,0.03,0.53,0.52,0.46,0.69
kowari.csv,0.89,0.97,1.0,0.86,1.0,0.86,1.0,1.0,1.0,0.92,0.0,1.0,0.96
maidsafe-dht.csv,0.98,0.94,0.0,0.93,1.0,0.91,0.6,0.68,0.9,0.97,1.0,1.0,0.94
mimosa.csv,0.79,0.99,0.7,0.45,0.67,0.75,0.62,0.59,0.58,0.58,0.54,0.0,0.65
vdsf.csv,0.85,0.14,0.88,0.82,0.95,0.97,0.91,0.98,1.0,1.0,0.92,0.99,0.94
xbrlapi.csv,0.05,0.86,1.0,0.73,1.19,0.67,1.06,0.87,0.77,1.0,1.05,0.42,0.75
