,olap-navigator.csv,sepgsql.csv,phonon-vlc-mplayer.csv,arcallians.csv,gretl.csv,fceugc.csv,unflobtactical.csv,autat.csv,jasperreports.csv,fido.csv,passwordsafe.csv,moast.csv,biopax.csv,exl.csv,ng4j.csv,jmule.csv
arcallians.csv,0.84,0.06,0.5,0.98,0.86,0.4,0.75,0.21,0.09,0.06,0.59,0.93,0.91,0.83,0.38,0.58
autat.csv,0.81,0.05,0.32,0.47,0.82,0.67,0.64,1.0,0.12,0.0,0.55,0.45,0.57,0.93,0.25,0.63
biopax.csv,0.77,0.08,0.31,0.59,0.89,0.39,0.56,0.19,0.05,0.04,0.41,0.89,0.99,0.79,0.28,0.42
exl.csv,0.8,0.07,0.31,0.64,0.91,0.36,0.74,0.2,0.14,0.06,0.46,0.92,0.78,1.0,0.35,0.76
fceugc.csv,0.74,0.04,0.47,0.37,0.86,1.0,0.68,0.2,0.02,0.05,0.5,0.65,0.88,0.95,0.23,0.2
fido.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
gretl.csv,0.73,0.05,0.31,0.62,0.99,0.33,0.55,0.18,0.12,0.05,0.48,0.91,0.91,0.88,0.26,0.48
jasperreports.csv,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
jmule.csv,0.86,0.05,0.53,0.52,0.91,0.25,0.44,0.27,0.19,0.06,0.37,0.95,1.0,0.5,0.55,1.0
moast.csv,0.68,0.05,0.27,0.52,0.83,0.26,0.57,0.24,0.09,0.05,0.33,1.0,0.8,0.67,0.26,0.5
ng4j.csv,0.67,0.04,0.56,0.76,0.83,0.28,0.45,0.15,0.13,0.0,0.38,0.25,0.7,0.88,1.0,0.61
olap-navigator.csv,1.0,0.04,0.44,0.68,0.86,0.36,0.76,0.15,0.1,0.08,0.45,0.91,0.96,0.88,0.41,0.7
passwordsafe.csv,0.75,0.07,0.56,0.64,0.87,0.39,0.6,0.23,0.09,0.06,1.0,0.15,0.76,0.83,0.23,0.5
phonon-vlc-mplayer.csv,0.8,0.05,1.0,0.31,0.83,0.43,0.65,0.13,0.06,0.03,0.42,0.89,0.82,0.86,0.26,0.37
sepgsql.csv,0.67,1.0,0.67,0.0,0.5,0.2,0.0,0.0,0.0,0.0,0.22,0.0,1.0,1.0,0.0,0.0
unflobtactical.csv,0.92,0.12,0.36,0.76,0.87,0.31,1.0,0.29,0.1,0.03,0.37,0.82,0.68,0.76,0.21,0.67
