,rezilla.csv,webdriver.csv,minig.csv,jparsec.csv,kmess.csv
jparsec.csv,0.49,0.5,0.55,0.97,0.77
kmess.csv,0.26,0.25,0.24,0.22,0.98
minig.csv,0.4,0.49,0.97,0.2,0.52
rezilla.csv,1.0,0.62,0.5,0.62,0.68
webdriver.csv,0.08,0.99,0.42,0.42,0.58
