,qpe.csv,sepgsql.csv,ldview.csv,monetdb.csv,xpontus.csv,netatalk.csv,fmri-dmt.csv,synergyspace.csv,quark.csv,illumination.csv,gss.csv,olex2.csv,ftm.csv,arm-webradio.csv,fulguro.csv
arm-webradio.csv,0.24,0.09,0.42,0.38,0.03,0.45,0.18,0.28,0.32,0.28,0.47,0.6,0.62,0.97,0.14
fmri-dmt.csv,0.04,0.16,0.12,0.07,0.0,0.22,0.91,0.0,0.26,0.0,0.06,0.32,0.08,0.39,0.16
ftm.csv,0.25,0.09,0.54,0.56,0.03,0.62,0.16,0.23,0.42,0.28,0.53,0.59,0.97,0.35,0.17
fulguro.csv,0.13,0.09,0.36,0.07,0.0,0.22,0.08,0.24,0.0,0.05,0.23,0.12,0.37,0.09,0.95
gss.csv,0.18,0.12,0.58,0.51,0.03,0.56,0.17,0.36,0.33,0.39,1.0,0.62,0.6,0.36,0.23
illumination.csv,0.09,0.08,0.47,0.43,0.05,0.29,0.21,0.34,0.37,0.94,0.72,0.12,0.34,0.22,0.15
ldview.csv,0.12,0.1,1.0,0.57,0.0,0.24,0.13,0.15,0.15,0.13,0.39,0.61,0.35,0.4,0.21
monetdb.csv,0.2,0.14,0.45,0.96,0.0,0.29,0.08,0.24,0.41,0.26,0.49,0.52,0.56,0.46,0.09
netatalk.csv,0.3,0.09,0.37,0.48,0.05,0.96,0.2,0.2,0.4,0.18,0.49,0.44,0.53,0.27,0.12
olex2.csv,0.26,0.12,0.21,0.52,0.0,0.31,0.25,0.3,0.29,0.36,0.65,0.97,0.54,0.23,0.3
qpe.csv,0.97,0.08,0.42,0.43,0.0,0.32,0.19,0.37,0.33,0.24,0.73,0.17,0.57,0.19,0.15
quark.csv,0.0,0.0,0.23,0.39,0.0,0.0,0.0,0.0,1.0,0.0,0.18,0.0,0.22,0.06,0.15
sepgsql.csv,0.04,0.88,0.17,0.16,0.0,0.24,0.0,0.34,0.2,0.08,0.58,0.17,0.13,0.2,0.11
synergyspace.csv,0.09,0.1,0.15,0.04,0.0,0.0,0.0,0.94,0.0,0.09,0.06,0.0,0.03,0.05,0.0
