,qpe.csv,sepgsql.csv,ldview.csv,monetdb.csv,xpontus.csv,netatalk.csv,fmri-dmt.csv,synergyspace.csv,quark.csv,illumination.csv,gss.csv,olex2.csv,ftm.csv,arm-webradio.csv,fulguro.csv
arm-webradio.csv,0.46,1.0,0.78,0.7,0.57,0.6,0.66,0.71,0.95,0.81,0.92,0.8,0.71,0.02,0.9
fmri-dmt.csv,0.97,0.71,0.94,0.96,1.01,0.86,0.17,1.0,0.78,1.01,0.97,0.79,0.97,0.7,0.79
ftm.csv,0.43,0.9,0.53,0.47,0.53,0.37,0.67,0.81,0.56,0.72,0.64,0.55,0.05,0.89,0.76
fulguro.csv,0.71,0.72,0.76,0.96,1.02,0.86,0.88,0.79,1.0,0.99,0.87,0.93,0.77,0.95,0.09
gss.csv,0.68,0.63,0.64,0.61,0.57,0.43,0.68,0.68,0.82,0.59,0.0,0.64,0.64,0.98,0.64
illumination.csv,0.84,0.76,0.68,0.69,0.31,0.75,0.69,0.65,0.77,0.12,0.52,0.94,0.78,0.99,0.8
ldview.csv,0.74,0.67,0.0,0.53,1.03,0.83,0.76,0.88,0.87,0.9,0.86,0.51,0.78,0.64,0.68
monetdb.csv,0.64,0.52,0.8,0.09,1.04,0.76,0.88,0.77,0.52,0.74,0.66,0.63,0.7,0.57,0.96
netatalk.csv,0.44,0.86,0.73,0.58,0.33,0.07,0.6,0.83,0.57,0.85,0.67,0.68,0.59,0.81,0.85
olex2.csv,0.47,0.56,0.87,0.53,1.31,0.74,0.5,0.69,0.76,0.61,0.5,0.04,0.58,0.85,0.51
qpe.csv,0.05,0.83,0.78,0.68,1.17,0.73,0.63,0.59,0.84,0.79,0.86,0.9,0.71,1.0,0.79
quark.csv,1.0,1.0,0.86,0.73,1.01,1.0,1.0,1.0,0.0,1.0,0.9,1.0,0.87,0.97,0.91
sepgsql.csv,0.96,0.19,0.92,0.94,1.0,0.81,1.01,0.65,0.83,0.95,0.57,0.9,0.93,0.86,0.88
synergyspace.csv,0.9,0.93,0.91,0.98,1.0,1.0,1.01,0.12,1.0,0.94,0.97,1.0,0.99,0.97,1.0
