,openwbem.csv,nova.csv,crisscross.csv,mb-unit.csv,mvdsv.csv,ivataopenportal.csv,elynx.csv,cascading.csv,xcmetadataservicestoolkit.csv,gnome-jabber.csv,glelite.csv,olex2.csv,tencompetence.csv,gisgraphy.csv
cascading.csv,0.52,0.24,0.24,0.73,0.23,0.42,0.0,0.77,0.64,0.04,0.66,0.52,0.36,0.52
crisscross.csv,0.51,0.37,0.48,0.83,0.16,0.59,0.03,0.81,0.74,0.97,0.4,0.64,0.78,0.49
gisgraphy.csv,0.37,0.0,0.31,0.28,0.3,0.04,0.0,0.43,0.33,0.4,0.19,0.53,0.06,0.67
glelite.csv,0.52,0.26,0.33,0.9,0.16,0.68,0.03,0.88,0.84,0.96,0.98,0.59,0.82,0.37
gnome-jabber.csv,0.5,0.06,0.35,0.85,0.19,0.63,0.04,0.77,0.71,0.78,0.81,0.55,0.65,0.45
ivataopenportal.csv,0.53,0.37,0.34,0.88,0.17,0.73,0.0,0.8,0.78,0.97,0.95,0.63,0.53,0.46
mb-unit.csv,0.51,0.21,0.29,0.78,0.17,0.67,0.05,0.73,0.8,0.76,0.87,0.62,0.49,0.38
mvdsv.csv,0.09,0.27,0.0,0.14,0.71,0.02,0.0,0.14,0.3,0.06,0.15,0.15,0.05,0.47
nova.csv,0.42,0.67,0.31,0.58,0.0,0.31,0.05,0.64,0.45,0.68,0.63,0.54,0.51,0.39
olex2.csv,0.5,0.42,0.34,0.68,0.2,0.66,0.0,0.53,0.71,0.45,0.93,0.74,0.24,0.19
openwbem.csv,0.55,0.22,0.33,0.66,0.28,0.6,0.09,0.46,0.68,0.38,0.51,0.57,0.17,0.55
tencompetence.csv,0.21,0.2,0.18,0.72,0.0,0.53,0.07,0.27,0.47,0.53,0.71,0.17,0.81,0.2
xcmetadataservicestoolkit.csv,0.44,0.33,0.21,0.68,0.18,0.57,0.03,0.71,0.86,0.95,0.98,0.61,0.8,0.3
