,id,count_f1,count_g,count_recall,count_precision,count_pf,count_pci_20,cdom_score,bellwether
55,2,2,1,2,1,1,0,1,logicmail.csv
51,3,3,3,5,2,3,6,5,open-media-library.csv
49,4,3,4,16,2,1,14,19,beast-mcmc.csv
57,5,1,2,2,2,3,5,5,springside.csv
24,6,5,3,5,6,2,9,10,autofac.csv
19,7,3,4,4,7,15,16,18,piccolo2d.csv
29,8,5,3,9,3,2,7,10,ngl.csv
27,10,0,1,1,0,1,1,0,atunes.csv
18,11,1,2,2,1,4,4,3,fluent-nhibernate.csv
56,13,2,1,1,2,2,3,2,amanda.csv
58,14,7,8,13,8,3,17,18,cascading.csv
50,15,1,3,5,6,13,14,15,openmeetings.csv
21,16,2,3,6,3,2,6,9,psycle.csv
26,17,1,1,3,0,1,2,2,clamav.csv
16,18,1,1,2,1,0,3,2,lmms.csv
28,19,2,3,3,4,7,10,9,oscarmcmaster.csv
15,20,1,3,6,1,2,5,5,jmule.csv
30,21,5,6,8,6,10,15,15,phonon-vlc-mplayer.csv
59,22,0,3,4,0,1,6,5,acegisecurity.csv
17,27,2,1,4,1,1,7,6,bochs.csv
25,28,2,2,4,3,6,10,12,geogebra.csv
20,29,3,5,9,4,1,6,14,kdenlive.csv
39,30,10,6,11,14,10,9,17,botsnscouts.csv
6,32,3,5,6,4,3,3,9,heekscad.csv
14,33,3,5,7,4,3,4,9,jguard.csv
13,34,2,3,4,2,1,1,3,jajuk.csv
7,35,7,7,11,8,7,15,19,go.csv
34,36,5,10,11,7,14,10,16,jahshakafx.csv
40,37,4,7,8,4,2,8,10,natpad.csv
33,38,5,3,6,6,8,13,15,zildo.csv
41,39,0,1,3,1,4,8,6,kowari.csv
53,40,2,3,6,1,3,6,8,applet2app.csv
47,41,2,3,4,2,4,2,4,adaptagrams.csv
22,42,3,2,3,3,2,4,5,qse.csv
32,43,3,4,5,3,2,5,7,boost.csv
31,44,1,2,2,2,4,6,5,webdriver.csv
23,45,1,2,2,2,4,5,4,tolven.csv
46,46,3,2,2,5,7,10,10,qtractor.csv
54,47,2,9,15,1,3,9,17,elmo.csv
48,48,1,2,3,6,8,11,11,firebird.csv
52,49,5,3,5,9,9,13,14,delphilhlplib.csv
3,50,4,5,10,4,2,9,12,reactos-mirror.csv
42,52,3,1,3,3,2,7,6,olex2.csv
38,53,4,4,12,3,2,11,15,oppna-program-hsatools.csv
37,54,1,1,2,1,2,3,2,graphmak.csv
43,55,1,0,1,3,8,11,9,jvcl.csv
9,56,1,1,3,1,2,5,7,optalgtoolkit.csv
5,57,3,3,9,3,7,16,16,co-ode-owl-plugins.csv
10,58,4,4,8,5,2,12,12,cleartk.csv
1,59,4,5,10,4,4,5,18,opensim4opencog.csv
12,60,1,3,3,1,1,4,4,oorexx.csv
0,61,3,2,5,3,2,14,16,l2j.csv
36,62,0,2,3,1,3,5,5,plplot.csv
44,63,3,4,5,8,11,17,15,openwbem.csv
45,64,1,1,1,2,4,4,5,alembik.csv
35,65,2,4,4,2,5,12,12,nuttx.csv
2,66,1,1,2,1,1,1,1,freewrl.csv
11,67,6,6,10,8,2,11,15,x4x.csv
4,68,1,2,4,2,3,7,8,anaxagora.csv
8,69,0,1,1,0,0,2,1,trinitycore.csv
