,id,expected,max_bell,avge,median,bellwether,size
55,2,1,2,1.5,0.79,logicmail.csv,2
51,3,2,1,1.5,0.63,benojt.csv,6
49,4,7,3,3.05,0.56,beast-mcmc.csv,20
57,5,2,1,0.83,0.515,springside.csv,6
24,6,4,5,2.91,0.59,autofac.csv,11
19,7,6,4,2.21,0.53,thedata.csv,19
29,8,4,4,2.27,0.64,freelords.csv,11
27,10,0,0,0.0,0.21,atunes.csv,1
18,11,1,1,0.75,0.48,fluent-nhibernate.csv,4
56,13,1,2,1.0,0.66,amanda.csv,3
58,14,6,5,4.16,0.495,bibedt.csv,20
50,15,5,6,2.81,0.565,glelite.csv,16
21,16,3,5,1.6,0.65,enlightenment.csv,10
26,17,1,1,0.67,0.6,clamav.csv,3
16,18,1,0,0.33,0.32,yale.csv,3
28,19,3,2,1.5,0.5700000000000001,knowledge.csv,10
15,20,2,1,0.33,0.29,jmule.csv,7
30,21,5,4,3.19,0.5800000000000001,ng4j.csv,16
59,22,2,0,0.33,0.5449999999999999,ppcboot.csv,6
17,27,2,2,0.43,0.5,bochs.csv,7
25,28,4,2,1.54,0.44,geogebra.csv,13
20,29,5,3,1.53,0.53,kdenlive.csv,15
39,30,6,12,8.39,0.75,fleet-simulator.csv,19
6,32,3,2,1.6,0.5,igarden.csv,10
14,33,3,3,1.6,0.54,st-filteredstatistics.csv,10
13,34,1,2,1.25,0.605,jajuk.csv,4
7,35,7,11,5.2,0.695,mpgravity.csv,20
34,36,6,5,3.35,0.58,planeshift.csv,17
40,37,4,4,3.45,0.64,natpad.csv,11
33,38,5,7,3.12,0.595,zengine.csv,16
41,39,2,0,0.43,0.26,apolloplayer.csv,8
53,40,3,2,1.22,0.56,riff-evolve.csv,9
47,41,2,2,1.4,0.49,electric-core.csv,5
22,42,2,3,1.67,0.58,qse.csv,6
32,43,3,4,2.5,0.64,passwordsafe.csv,8
31,44,2,1,0.67,0.5349999999999999,rezilla.csv,6
23,45,2,3,1.2,0.67,pcgen.csv,5
46,46,4,6,1.91,0.7,sumatrapdf.csv,11
54,47,6,4,2.72,0.565,tango-cs.csv,18
48,48,4,6,2.42,0.655,yield.csv,12
52,49,5,8,3.93,0.67,sauerbraten.csv,15
3,50,4,4,2.62,0.62,critterding.csv,13
42,52,2,4,3.0,0.69,ivataopenportal.csv,7
38,53,5,5,2.38,0.53,fontforge.csv,17
37,54,1,2,1.67,0.68,rectracker.csv,3
43,55,3,1,0.6,0.31,jaxen.csv,12
9,56,3,1,0.88,0.565,optalgtoolkit.csv,8
5,57,6,3,2.71,0.52,co-ode-owl-plugins.csv,17
10,58,4,4,2.85,0.525,roolo.csv,14
1,59,6,6,2.68,0.55,jmol.csv,19
12,60,2,1,0.8,0.59,nug.csv,5
0,61,6,4,1.82,0.52,red5.csv,17
36,62,2,0,0.67,0.5800000000000001,plplot.csv,6
44,63,5,9,3.31,0.67,wpdev.csv,17
45,64,2,1,1.33,0.56,barracudamvc.csv,6
35,65,4,2,1.69,0.48,flylinkdc.csv,13
2,66,1,2,1.5,0.71,silvertree.csv,2
11,67,5,9,5.12,0.71,megasquirtavr.csv,16
4,68,3,1,0.89,0.48,carabiner.csv,9
8,69,1,0,0.0,0.42,trinitycore.csv,2
