,moviesandbox.csv,arcallians.csv,yale.csv,unflobtactical.csv,kml.csv,sigil.csv,les-indemodables.csv,xtreemfs.csv,biopax.csv,crux-framework.csv,metacosm.csv
arcallians.csv,0.93,0.73,0.6,0.8,0.5,0.96,0.86,0.85,0.73,1.0,0.81
biopax.csv,0.95,0.95,1.0,1.0,0.94,0.98,0.97,1.0,0.85,1.0,1.0
crux-framework.csv,0.16,0.34,0.14,0.03,0.72,0.21,0.08,0.1,0.03,1.0,0.11
kml.csv,0.98,1.0,0.95,1.0,0.81,0.98,1.0,0.98,1.0,1.0,1.0
les-indemodables.csv,0.59,0.5,0.72,0.63,0.81,0.52,0.7,0.28,0.42,0.67,0.56
metacosm.csv,0.52,0.5,0.79,0.43,0.53,0.48,0.7,0.38,0.35,0.33,0.78
moviesandbox.csv,0.75,0.45,0.23,0.69,0.17,0.88,0.89,0.78,0.65,0.67,0.74
sigil.csv,0.8,0.5,0.43,0.74,0.28,0.81,0.62,0.91,0.42,1.0,0.81
unflobtactical.csv,0.89,0.64,0.72,0.74,0.14,0.92,1.0,0.85,0.79,1.0,0.7
xtreemfs.csv,0.95,0.98,0.63,0.8,0.81,0.92,0.89,0.85,0.54,1.0,0.74
yale.csv,0.5,0.5,0.48,0.69,0.92,0.62,0.51,0.35,0.51,0.0,0.41
