,id,count_recall,count_precision,count_pf,cdom_score,bellwether
53,2,2,2,2,1,logicmail.csv
48,3,1,4,7,6,jahshaka.csv
46,4,1,9,14,18,icescrum.csv
54,5,1,3,5,5,mule.csv
21,6,2,12,15,18,exist.csv
16,7,1,4,15,14,jgossipforum.csv
25,8,2,6,11,11,freedom-erp.csv
14,9,1,1,5,4,jgnash.csv
15,11,1,1,1,0,atunes.csv
49,12,2,2,1,2,columba.csv
55,14,1,2,3,2,nutz.csv
47,15,2,5,9,11,patterntesting.csv
18,16,3,5,9,10,wxcrp.csv
23,17,4,5,2,8,ffigo.csv
13,18,1,3,6,6,quarkplusplus.csv
24,19,1,1,2,2,qpe.csv
12,20,1,1,4,3,foursquared.csv
26,21,1,10,15,14,amateur-scrolls.csv
56,22,1,10,17,16,cortex-vfx.csv
45,23,1,3,6,5,xtreemfs.csv
22,28,1,2,5,5,h2database.csv
17,29,1,2,3,3,hibernate.csv
36,30,2,9,15,15,algebsql.csv
31,31,5,7,7,12,galaxium.csv
5,32,1,12,16,17,retromenu.csv
11,34,1,7,12,11,gbif-providertoolkit.csv
6,35,1,4,9,8,m-a-d-n-e-s-s.csv
30,36,1,6,17,17,ktc.csv
37,37,2,8,15,18,mp-rechnungs-und-kundenverwaltung.csv
29,38,1,7,8,7,novembre.csv
38,39,1,3,5,5,mcmc-jags.csv
51,40,6,5,2,14,owlib.csv
43,41,1,2,8,6,k3d.csv
19,42,1,8,17,16,jcae.csv
28,43,1,3,8,9,skia.csv
27,44,4,11,13,18,exordium.csv
20,45,2,10,18,18,projecteqemu.csv
42,46,1,5,7,9,fulguro.csv
52,47,1,8,15,15,biodwh.csv
44,48,2,8,11,13,flylinkdc.csv
50,49,1,3,4,3,tolven.csv
3,50,1,3,6,5,alpine.csv
8,51,1,7,13,12,unimrcp.csv
35,53,2,7,12,12,crisscross.csv
34,54,1,4,12,11,qlc.csv
39,55,1,10,18,16,alembik.csv
7,56,1,2,7,6,nh3d.csv
4,57,2,3,2,8,optalgtoolkit.csv
9,58,6,5,8,18,co-ode-owl-plugins.csv
1,59,2,3,4,4,intact.csv
10,60,2,5,10,9,wxcode.csv
0,61,2,9,7,10,proftp.csv
33,62,9,7,11,17,rohxel.csv
40,63,1,3,7,6,jrdf.csv
41,64,1,3,13,12,bionote.csv
32,65,1,1,1,1,poormans.csv
2,66,2,6,12,12,jaxen.csv
