,campsoft.csv,gtad.csv,rhex.csv,owlib.csv,ktc.csv,jedit.csv,net-snmp.csv,encog-java.csv,umber.csv,jahshakafx.csv,jahshaka.csv,selenium.csv,paintown.csv,h2database.csv,x4x.csv,elmo.csv,jmoney.csv,google-collections.csv,baadengine.csv,raven-monitoring.csv,smbopensoft.csv,xharbour.csv,flylinkdc.csv,reactos-mirror.csv,qpe.csv,xbrlapi.csv,prelude.csv,neoengine.csv,atunes.csv,avifile.csv,lamp.csv,logicmail.csv,wgs-assembler.csv,plearn.csv,werx.csv,plog4u.csv,openwbem.csv,qgo.csv,jaql.csv,guineu.csv,,,
atunes.csv,0.02,0.09,0.24,0,0,0,0,0.29,0,0,0.31,0.65,0.58,0,0.88,0.13,0.52,0.76,0,0.54,0.71,0,0,0,0,0.68,0.88,0,,0,0.19,0.77,0,0,0.99,0.02,0,0.58,0.57,0.46,6,8,11
avifile.csv,0,0,0,0.17,0.57,0.6,0.54,0,0,0.45,0,0.06,0,0.22,0,0,0,0.02,0.36,0,0,0.9,0.43,0.58,0.09,0,0,0.05,0,,0,0,0.5,0.21,0,0,0.53,0,0.02,0,1,2,4
baadengine.csv,0.02,0.05,0.23,0.56,0,0.61,0.64,0.21,0.42,0.62,0.31,0.68,0.65,0,0.88,0.13,0.49,0.98,,0.57,0.66,0,0.05,0,0.2,0.68,0.88,0.55,0.08,0.13,0.18,0.77,0.54,0.46,0.99,0.02,0.24,0.64,0.56,0.46,5,13,17
elmo.csv,0,0,0,0,0,0,0,0,0,0,0.13,0.09,0.05,0,0.05,,0,0.02,0,0.2,0,0,0,0,0,0.13,0.16,0,0,0,0.12,0,0,0,0.03,0,0,0.06,0,0.07,0,0,0
encog-java.csv,0.03,0,0.29,0,0,0,0,,0,0,0.41,0.32,0.03,0,0.8,0.13,0.44,0,0,0.25,0.46,0,0,0,0,0.54,0.7,0,0,0,0.24,0.7,0,0,0.5,0.06,0,0,0.08,0.49,3,3,3
flylinkdc.csv,0.02,0.07,0.3,0.55,0,0.6,0.57,0.22,0.46,0.67,0.29,0.72,0.7,0.34,0.88,0.18,0.5,0.91,0.58,0.58,0.66,0,,0,0.23,0.67,0.78,0.57,0.1,0.07,0.2,0.77,0.49,0.47,0.99,0.02,0.45,0.72,0.57,0.47,8,12,18
google-collections.csv,0.02,0.05,0.23,0.57,0,0.54,0.59,0.2,0.44,0.32,0.31,0.69,0.65,0.31,0.88,0.13,0.49,,0.86,0.57,0.48,0,0.27,0,0.15,0.68,0.88,0.54,0.07,0.13,0.18,0.77,0.35,0.44,0.99,0.02,0.39,0.57,0.56,0.47,5,8,13
gtad.csv,0.03,,0.28,0,0,0,0,0.04,0,0,0.27,0.49,0,0,0.84,0.16,0.65,0.02,0,0.48,0,0,0,0,0,0.67,0.88,0,0,0,0.23,0.83,0,0,0.81,0.03,0,0,0.08,0.51,4,6,6
guineu.csv,0,0.06,0.34,0.57,0.57,0.62,0.62,0.21,0.41,0.47,0.25,0.64,0.64,0.22,0.04,0.18,0.38,0.97,0.86,0.58,0.54,0.9,0.43,0.58,0.14,0.32,0,0.55,0.07,0.13,0.28,0.43,0.53,0.45,0,0,0.53,0.63,0.56,,3,8,14
h2database.csv,0.02,0.05,0.23,0.57,0,0.29,0.65,0.21,0.42,0.55,0.31,0.69,0.65,,0.88,0.13,0.49,0.99,0.87,0.57,0.66,0,0,0,0.24,0.68,0.88,0.55,0.08,0.13,0.18,0.77,0.3,0.45,0.99,0.02,0.08,0.65,0.56,0.47,6,12,17
