,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,capcode.csv,boost-sandbox.csv,stuproa-cims.csv,nodal.csv,pydev.csv,uface.csv
boost-sandbox.csv,0.03,0.58,0.27,0.55,0.47,0.62,0.49,0.57,0.87,0.57,0.46
bscwweasel.csv,0.01,0.07,0.27,0.23,0.27,0.27,0.41,0.76,0.22,0.65,0.2
capcode.csv,0.01,0.88,0.46,0.76,0.24,0.28,0.51,0.1,0.25,0.07,0.17
lamp.csv,0.25,0.22,0.13,0.64,0.87,0.76,0.79,0.17,0.43,0.43,0.65
nodal.csv,0.0,0.01,0.14,0.42,0.64,0.25,0.0,0.17,0.16,0.41,0.13
pydev.csv,0.86,0.29,0.2,0.56,0.47,0.77,0.38,0.87,0.37,0.28,0.72
retromenu.csv,0.0,0.21,0.04,0.08,0.24,0.17,0.67,0.1,0.19,0.03,0.0
smbopensoft.csv,0.19,0.97,0.92,0.61,0.82,0.41,0.62,0.34,0.35,0.7,0.22
stuproa-cims.csv,0.1,0.02,0.48,0.24,0.6,0.25,0.05,0.21,0.54,0.52,0.5
thout.csv,0.13,0.99,0.2,0.18,0.53,0.92,0.92,0.89,0.81,0.26,0.3
uface.csv,1.0,1.0,0.95,0.57,0.76,0.61,1.0,0.63,0.51,0.43,0.04
