,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,capcode.csv,boost-sandbox.csv,stuproa-cims.csv,nodal.csv,pydev.csv,uface.csv
boost-sandbox.csv,0.89,0.45,0.48,0.49,0.43,0.38,0.5,0.43,0.34,0.48,0.42
bscwweasel.csv,0.8,0.91,0.52,0.63,0.48,0.56,0.58,0.38,0.86,0.39,0.49
capcode.csv,0.67,0.42,0.49,0.51,0.55,0.57,0.66,0.97,0.62,0.93,0.54
lamp.csv,0.7,0.62,0.79,0.43,0.4,0.39,0.38,0.8,0.47,0.37,0.52
nodal.csv,0.0,0.0,0.79,0.57,0.58,0.64,0.5,0.97,0.67,0.41,0.52
pydev.csv,0.29,0.55,0.6,0.46,0.37,0.42,0.52,0.37,0.59,0.5,0.46
retromenu.csv,0.0,0.88,0.94,0.94,0.41,0.79,0.43,0.96,0.75,0.89,0.8
smbopensoft.csv,0.39,0.39,0.48,0.63,0.43,0.64,0.5,0.66,0.62,0.46,0.49
stuproa-cims.csv,0.96,0.75,0.61,0.51,0.36,0.59,0.75,0.69,0.41,0.41,0.43
thout.csv,0.94,0.4,0.58,0.9,0.49,0.38,0.41,0.36,0.36,0.63,0.55
uface.csv,0.27,0.4,0.46,0.44,0.31,0.38,0.38,0.4,0.41,0.45,0.38
