,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,piccolo2d.csv,levent.csv,jstock.csv,pnotepad.csv,trinitycore.csv,geochat.csv
gamestone.csv,0.83,0.86,0.96,0.94,0.81,0.67,0.75,0.67,0.88,0.97,0.94
gbif-providertoolkit.csv,0.97,0.95,0.95,0.93,0.93,0.8,0.96,0.86,0.81,0.88,0.96
geochat.csv,0.7,0.42,0.59,0.65,0.51,0.49,0.83,0.9,0.82,0.68,0.89
heekscad.csv,0.43,0.39,0.36,0.3,0.34,0.34,0.36,0.3,0.44,0.41,0.35
igarden.csv,0.73,0.75,0.96,0.73,0.75,0.94,0.8,0.75,0.86,0.62,0.81
jstock.csv,0.57,0.75,0.64,0.84,0.92,0.72,0.52,0.83,0.67,0.64,0.84
levent.csv,0.53,0.59,0.5,0.41,0.49,0.42,0.51,0.46,0.5,0.48,0.64
piccolo2d.csv,0.67,0.0,0.0,0.5,0.92,0.92,0.78,0.0,0.5,0.5,0.5
pnotepad.csv,0.44,0.48,0.35,0.3,0.34,0.34,0.37,0.37,0.4,0.39,0.4
trinitycore.csv,0.8,0.9,0.95,0.93,0.72,0.7,0.67,0.56,0.86,0.79,0.65
xcsoar.csv,0.43,0.5,0.49,0.5,0.5,0.4,0.61,0.71,0.6,0.45,0.58
