,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,piccolo2d.csv,levent.csv,jstock.csv,pnotepad.csv,trinitycore.csv,geochat.csv
gamestone.csv,0.85,0.12,0.82,0.86,0.83,0.92,0.94,1.08,0.86,0.92,0.91
gbif-providertoolkit.csv,0.85,1.09,0.8,0.85,0.0,0.81,0.74,0.93,0.85,0.88,0.86
geochat.csv,0.66,0.7,0.71,0.74,0.87,0.74,0.9,0.79,0.77,0.74,0.1
heekscad.csv,0.01,0.41,0.52,0.84,0.7,0.71,0.63,0.77,0.42,0.58,0.66
igarden.csv,0.7,1.0,0.74,0.03,0.79,0.55,0.7,0.85,0.85,0.62,0.72
jstock.csv,0.64,0.75,0.6,0.74,0.65,0.66,0.52,0.08,0.58,0.77,0.8
levent.csv,0.65,1.06,0.56,0.59,0.61,0.82,0.0,0.5,0.73,0.68,0.71
piccolo2d.csv,0.99,1.0,1.0,0.97,0.95,0.0,0.84,0.92,0.96,0.98,1.0
pnotepad.csv,0.72,0.54,0.72,0.85,0.9,0.9,0.56,0.69,0.02,0.64,0.81
trinitycore.csv,0.75,0.77,0.84,0.75,0.73,0.75,0.94,0.66,0.88,0.05,0.71
xcsoar.csv,0.43,0.45,0.12,0.59,0.54,0.43,0.64,0.57,0.66,0.64,0.83
