,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,piccolo2d.csv,levent.csv,jstock.csv,pnotepad.csv,trinitycore.csv,geochat.csv
gamestone.csv,0.19,0.9,0.24,0.19,0.24,0.1,0.07,0.0,0.18,0.11,0.12
gbif-providertoolkit.csv,0.26,0.0,0.25,0.19,1.0,0.27,0.37,0.1,0.28,0.21,0.2
geochat.csv,0.4,0.61,0.4,0.36,0.43,0.58,0.12,0.27,0.27,0.33,0.92
heekscad.csv,0.99,0.73,0.69,0.48,0.63,0.67,0.61,0.6,0.65,0.68,0.7
igarden.csv,0.35,0.0,0.31,0.98,0.25,0.51,0.38,0.18,0.18,0.46,0.34
jstock.csv,0.55,0.29,0.48,0.33,0.41,0.42,0.55,0.93,0.5,0.31,0.27
levent.csv,0.62,0.14,0.66,0.68,0.57,0.5,1.0,0.67,0.53,0.63,0.41
piccolo2d.csv,0.01,0.0,0.0,0.04,0.09,1.0,0.19,0.1,0.05,0.02,0.0
pnotepad.csv,0.65,0.69,0.64,0.47,0.35,0.36,0.66,0.62,0.98,0.63,0.51
trinitycore.csv,0.29,0.29,0.21,0.3,0.45,0.41,0.07,0.54,0.15,0.96,0.5
xcsoar.csv,0.64,0.64,0.9,0.54,0.63,0.87,0.44,0.5,0.42,0.52,0.27
