,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,piccolo2d.csv,levent.csv,jstock.csv,pnotepad.csv,trinitycore.csv,geochat.csv
gamestone.csv,0.16,0.88,0.2,0.16,0.21,0.08,0.06,0.0,0.15,0.09,0.1
gbif-providertoolkit.csv,0.23,0.0,0.21,0.16,1.0,0.23,0.33,0.08,0.25,0.18,0.17
geochat.csv,0.35,0.75,0.36,0.32,0.5,0.77,0.1,0.23,0.23,0.29,0.9
heekscad.csv,0.99,0.75,0.73,0.87,0.86,1.0,0.65,1.0,0.62,0.78,0.93
igarden.csv,0.3,0.0,0.27,0.97,0.21,0.46,0.33,0.15,0.15,0.42,0.3
jstock.csv,0.55,0.25,0.43,0.29,0.36,0.38,0.51,0.92,0.46,0.27,0.23
levent.csv,0.7,0.12,0.71,0.77,0.57,0.69,1.0,0.69,0.58,0.78,0.37
piccolo2d.csv,0.01,0.0,0.0,0.03,0.07,1.0,0.16,0.08,0.04,0.02,0.0
pnotepad.csv,0.96,0.75,0.93,1.0,0.93,1.0,0.71,0.77,0.98,0.71,0.77
trinitycore.csv,0.25,0.25,0.18,0.26,0.43,0.38,0.06,0.54,0.12,0.95,0.5
xcsoar.csv,0.6,0.62,0.88,0.52,0.64,1.0,0.39,0.46,0.38,0.51,0.23
