,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,piccolo2d.csv,levent.csv,jstock.csv,pnotepad.csv,trinitycore.csv,geochat.csv
gamestone.csv,0.67,1.0,0.48,0.28,0.14,0.33,0.75,0.0,0.88,0.16,0.17
gbif-providertoolkit.csv,0.51,0.0,0.57,0.33,1.0,0.12,0.7,0.14,0.75,0.15,0.19
geochat.csv,0.82,0.15,0.49,0.32,0.13,0.15,0.83,0.3,1.0,0.3,1.0
heekscad.csv,1.0,0.26,0.56,0.31,0.21,0.18,0.73,0.28,0.94,0.32,0.3
igarden.csv,0.88,0.0,0.62,1.0,0.75,0.35,0.8,0.5,1.0,0.4,0.35
jstock.csv,0.67,0.5,0.67,0.36,0.42,0.2,0.86,1.0,0.92,0.25,0.23
levent.csv,0.67,0.03,0.54,0.38,0.22,0.13,1.0,0.35,0.82,0.28,0.26
piccolo2d.csv,0.33,0.0,0.0,0.5,0.08,1.0,0.89,1.0,1.0,0.5,0.0
pnotepad.csv,0.69,0.19,0.5,0.34,0.18,0.15,0.76,0.26,1.0,0.29,0.23
trinitycore.csv,0.95,0.2,0.45,0.53,0.17,0.12,1.0,0.26,0.86,0.98,0.23
xcsoar.csv,0.87,0.28,1.0,0.4,0.25,0.27,0.83,0.43,0.9,0.29,0.18
