,sabbu.csv,vxl.csv,jicarilla.csv,ossim.csv,zact.csv,optalgtoolkit.csv,projectts.csv,abbot.csv
abbot.csv,0.43,0.44,0.69,0.38,0.33,0.28,0.47,0.49
jicarilla.csv,0.8,0.0,0.77,0.67,0.0,0.0,0.5,0.48
optalgtoolkit.csv,0.62,0.59,0.55,0.46,0.83,0.61,0.5,0.33
ossim.csv,0.93,0.77,0.57,0.57,0.5,0.44,0.55,0.32
projectts.csv,0.46,0.53,0.58,0.54,0.34,0.34,0.55,0.67
sabbu.csv,0.43,0.55,0.88,0.52,0.51,0.8,0.61,0.83
vxl.csv,0.53,0.66,0.5,0.67,0.48,0.31,0.87,0.88
zact.csv,0.63,0.94,0.9,0.61,0.81,0.0,0.57,0.57
