,ifmo-game-1.csv,voms.csv,fm-classic.csv,foursquared.csv,micomt.csv,xpontus.csv
fm-classic.csv,0.13,0.23,0.33,1.0,0.5,0.0
foursquared.csv,0.25,0.25,0.0,0.71,0.0,0.0
ifmo-game-1.csv,0.33,0.0,0.07,0.57,0.0,0.0
micomt.csv,0.12,0.13,0.04,0.36,0.55,0.01
voms.csv,0.07,0.41,0.05,0.57,0.71,0.01
