,scenemonitor.csv,pustefix.csv,haggle.csv,avisynth2.csv,ibatisdb.csv,ngl.csv,jas.csv,wsmt.csv,mesa3d.csv,coot.csv
avisynth2.csv,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
coot.csv,0.74,0.75,0.93,1.01,0.43,0.77,0.78,0.53,0.83,0.1
haggle.csv,1.0,0.62,0.04,0.23,0.75,0.7,1.0,0.84,0.88,0.53
ibatisdb.csv,0.8,0.7,0.76,1.0,0.06,0.64,1.0,0.96,0.65,0.65
jas.csv,1.0,0.96,0.99,1.0,1.0,0.99,0.12,1.0,1.0,1.0
mesa3d.csv,0.96,0.81,0.89,1.01,0.94,0.73,0.9,0.62,0.19,0.84
ngl.csv,0.65,0.57,0.53,0.34,0.83,0.01,0.44,0.8,0.6,0.74
pustefix.csv,0.95,0.0,0.88,1.01,0.94,0.89,0.78,0.62,0.76,0.93
scenemonitor.csv,0.0,0.67,0.75,0.52,0.56,0.78,0.45,0.98,0.86,0.68
wsmt.csv,0.81,0.85,0.74,0.52,0.87,0.85,1.12,0.03,0.96,0.82
