,scenemonitor.csv,pustefix.csv,haggle.csv,avisynth2.csv,ibatisdb.csv,ngl.csv,jas.csv,wsmt.csv,mesa3d.csv,coot.csv
avisynth2.csv,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
coot.csv,0.46,0.42,0.11,0.0,0.64,0.28,0.29,0.55,0.26,0.92
haggle.csv,0.0,0.54,0.97,0.94,0.32,0.37,0.0,0.2,0.17,0.62
ibatisdb.csv,0.24,0.39,0.32,0.0,0.95,0.46,0.0,0.11,0.45,0.61
jas.csv,0.0,0.05,0.01,0.0,0.0,0.01,0.9,0.0,0.0,0.0
mesa3d.csv,0.06,0.26,0.17,0.0,0.1,0.32,0.14,0.47,0.84,0.23
ngl.csv,0.44,0.55,0.64,0.91,0.31,0.99,0.73,0.43,0.55,0.55
pustefix.csv,0.38,1.0,0.19,0.0,0.1,0.17,0.29,0.47,0.57,0.12
scenemonitor.csv,1.0,0.52,0.55,0.65,0.77,0.53,0.79,0.35,0.46,0.64
wsmt.csv,0.24,0.2,0.42,0.65,0.2,0.19,0.14,0.98,0.05,0.24
