,scenemonitor.csv,pustefix.csv,haggle.csv,avisynth2.csv,ibatisdb.csv,ngl.csv,jas.csv,wsmt.csv,mesa3d.csv,coot.csv
avisynth2.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0
coot.csv,0.5,0.44,0.22,0.13,0.19,0.15,0.23,0.2,0.27,0.0
haggle.csv,0.0,0.39,0.02,0.23,0.21,0.21,0.07,0.13,0.2,0.38
ibatisdb.csv,0.06,0.26,0.27,0.02,0.0,0.28,0.02,0.3,0.26,0.57
jas.csv,0.0,0.02,0.02,0.02,0.03,0.0,0.0,0.0,0.0,0.05
mesa3d.csv,0.12,0.23,0.22,0.11,0.21,0.13,0.2,0.23,0.01,0.24
ngl.csv,0.25,0.31,0.39,0.34,0.4,0.0,0.36,0.57,0.39,0.65
pustefix.csv,0.81,0.0,0.27,0.15,0.21,0.24,0.21,0.23,0.74,0.24
scenemonitor.csv,0.0,0.47,0.66,0.4,0.55,0.71,0.43,0.8,0.8,0.65
wsmt.csv,0.09,0.19,0.41,0.4,0.24,0.15,0.69,0.0,0.03,0.16
