,scenemonitor.csv,pustefix.csv,haggle.csv,avisynth2.csv,ibatisdb.csv,ngl.csv,jas.csv,wsmt.csv,mesa3d.csv,coot.csv
avisynth2.csv,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.67,0.0
coot.csv,0.56,0.69,0.94,0.88,0.83,0.95,0.76,0.83,0.92,0.5
haggle.csv,0.0,0.56,0.56,0.59,0.62,0.67,0.88,0.9,0.98,0.44
ibatisdb.csv,0.83,0.92,0.88,0.0,0.79,0.75,0.5,0.75,0.78,0.48
jas.csv,0.0,0.5,0.5,0.0,0.67,0.5,0.86,0.0,0.0,0.5
mesa3d.csv,0.8,0.89,0.95,0.86,0.96,0.87,0.92,0.68,0.93,0.76
ngl.csv,0.62,0.48,0.62,0.54,0.62,0.56,0.46,0.41,0.45,0.5
pustefix.csv,0.42,0.74,0.96,0.89,0.96,0.99,0.74,0.77,0.52,0.92
scenemonitor.csv,0.55,0.41,0.43,0.59,0.42,0.45,0.42,0.33,0.47,0.39
wsmt.csv,0.86,0.94,0.89,0.78,0.97,0.98,0.61,0.59,0.91,0.93
