,jajuk.csv,autoopencas.csv,decidr.csv,columba.csv
autoopencas.csv,0.34,0.75,0.43,0.14
columba.csv,0.75,0.3,0.48,0.64
decidr.csv,0.86,0.91,0.72,0.79
jajuk.csv,0.81,0.75,0.96,0.97
