,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,plato.csv,onotoa.csv,rodin-b-sharp.csv,gwanted.csv,proftp.csv,echongl.csv,xpontus.csv,unicase.csv,uclmda.csv,google-web-toolkit.csv,findbugs.csv,codesmith.csv
codesmith.csv,0.84,1.0,0.89,0.45,0.75,0.88,0.7,0.68,0.78,0.79,0.68,0.71,0.5,0.7,0.84,0.0
echongl.csv,0.38,1.0,0.17,0.85,0.5,0.31,0.37,0.44,0.95,0.05,0.22,0.47,0.17,0.37,0.16,0.18
findbugs.csv,0.58,0.0,0.25,0.53,0.62,0.06,0.49,0.26,0.32,0.16,0.36,0.42,0.5,0.29,0.02,0.32
google-web-toolkit.csv,0.45,0.0,0.31,0.47,0.38,0.44,0.35,0.32,0.11,0.32,0.45,0.43,0.5,0.0,0.29,0.35
gwanted.csv,0.84,0.0,0.03,0.0,1.0,0.5,0.02,0.0,0.03,0.03,0.83,0.87,0.67,0.64,0.04,0.03
ivatamasks.csv,0.62,0.5,0.77,0.0,0.25,0.81,0.72,0.61,0.32,0.89,0.82,0.61,0.83,0.67,0.53,0.41
onotoa.csv,0.58,1.0,0.76,0.45,0.75,0.0,0.75,0.65,0.89,1.0,0.68,0.7,0.67,0.73,0.69,0.24
orc.csv,0.82,0.0,0.0,0.21,1.0,0.62,0.17,0.1,0.0,0.0,0.87,0.88,0.67,0.75,0.13,0.26
plato.csv,1.0,1.0,0.9,0.91,0.0,0.94,0.83,0.81,1.0,0.0,0.91,0.93,0.67,0.86,0.82,0.79
proftp.csv,0.11,0.5,0.29,0.79,0.5,0.06,0.24,0.26,0.0,0.13,0.29,0.24,0.5,0.26,0.24,0.24
rodin-b-sharp.csv,0.02,1.0,0.05,0.13,0.25,0.12,0.0,0.21,0.16,0.0,0.13,0.07,0.17,0.14,0.09,0.41
uclmda.csv,0.07,0.5,0.34,0.0,0.12,0.25,0.19,0.14,0.22,0.16,0.04,0.07,0.0,0.05,0.09,0.21
umber.csv,0.0,0.0,0.17,0.15,0.25,0.12,0.27,0.19,0.14,1.0,0.17,0.02,0.17,0.13,0.42,0.21
unicase.csv,0.31,0.5,0.6,0.7,0.25,0.5,0.42,0.57,0.46,0.47,0.69,0.02,0.83,0.59,0.84,0.65
wpdev.csv,1.0,0.0,1.0,1.0,1.0,0.94,1.0,0.79,1.0,1.0,1.0,0.98,1.0,0.97,0.98,0.79
