,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,plato.csv,onotoa.csv,rodin-b-sharp.csv,gwanted.csv,proftp.csv,echongl.csv,xpontus.csv,unicase.csv,uclmda.csv,google-web-toolkit.csv,findbugs.csv,codesmith.csv
codesmith.csv,0.36,0.4,0.31,0.49,0.36,0.33,0.39,0.43,0.41,0.31,0.39,0.41,0.27,0.44,0.35,0.44
echongl.csv,0.66,0.51,0.97,0.67,0.79,0.69,0.85,0.56,0.43,0.36,0.96,0.61,0.5,0.78,0.93,0.92
findbugs.csv,0.52,0.67,0.81,0.85,0.79,0.75,0.73,0.89,0.62,0.96,0.77,0.74,0.7,0.8,0.64,0.69
google-web-toolkit.csv,0.62,0.5,0.63,0.63,0.61,0.63,0.7,0.63,0.53,0.63,0.53,0.48,0.74,0.51,0.83,0.61
gwanted.csv,0.46,0.75,0.8,0.83,0.44,0.55,0.75,0.96,0.5,0.88,0.43,0.52,0.43,0.45,0.83,0.75
ivatamasks.csv,0.41,0.39,0.34,0.43,0.64,0.32,0.39,0.52,0.35,0.33,0.4,0.37,0.27,0.46,0.38,0.45
onotoa.csv,0.49,0.44,0.35,0.58,0.61,0.4,0.5,0.55,0.44,0.29,0.48,0.54,0.38,0.51,0.45,0.68
orc.csv,0.47,0.0,0.94,0.95,0.45,0.51,0.98,0.95,0.0,0.0,0.41,0.51,0.44,0.45,0.91,0.82
plato.csv,0.41,0.47,0.33,0.48,0.45,0.4,0.44,0.48,0.4,0.0,0.4,0.41,0.34,0.45,0.39,0.4
proftp.csv,0.88,0.52,0.59,0.49,0.5,0.92,0.61,0.62,0.47,0.53,0.65,0.5,0.83,0.58,0.57,0.85
rodin-b-sharp.csv,0.0,0.72,0.88,0.93,0.88,0.95,0.7,0.97,0.86,0.0,0.93,0.99,0.0,0.97,0.86,0.86
uclmda.csv,0.8,0.75,0.7,0.0,0.67,0.5,0.98,0.95,0.92,0.86,0.8,0.96,0.26,0.94,0.89,0.7
umber.csv,0.58,0.85,0.86,0.54,0.67,0.76,0.64,0.71,0.71,0.29,0.8,0.98,0.33,0.98,0.45,0.71
unicase.csv,0.59,0.39,0.38,0.46,0.5,0.52,0.53,0.47,0.7,0.39,0.4,0.44,0.83,0.45,0.32,0.61
wpdev.csv,0.34,0.39,0.29,0.43,0.42,0.35,0.38,0.42,0.4,0.29,0.36,0.39,0.26,0.38,0.32,0.38
